1,Virat KohliRCB,15,15,3,741,113*,61.75,479,154.69,1,5,62,38,2024
2,Ruturaj GaikwadCSK,14,14,3,583,108*,53.00,413,141.16,1,4,58,18,2024
3,Riyan ParagRR,16,14,3,573,84*,52.09,384,149.21,0,4,40,33,2024
4,Travis HeadSRH,15,15,1,567,102,40.50,296,191.55,1,4,64,32,2024
5,Sanju SamsonRR,16,15,4,531,86,48.27,346,153.46,0,5,48,24,2024
6,Sai SudharsanGT,12,12,1,527,103,47.91,373,141.28,1,2,48,16,2024
7,K L RahulLSG,14,14,0,520,82,37.14,382,136.12,0,4,45,19,2024
8,Nicholas PooranLSG,14,14,6,499,75,62.38,280,178.21,0,3,35,36,2024
9,Sunil NarineKKR,15,14,0,488,109,34.86,270,180.74,1,3,50,33,2024
10,Abhishek SharmaSRH,16,16,1,484,75*,32.27,237,204.21,0,3,36,42,2024
11,Heinrich KlaasenSRH,16,15,3,479,80*,39.92,280,171.07,0,4,19,38,2024
12,Rishabh PantDC,13,13,2,446,88*,40.55,287,155.40,0,3,36,25,2024
13,Faf Du PlessisRCB,15,15,0,438,64,29.20,271,161.62,0,4,47,21,2024
14,Phil SaltKKR,12,12,1,435,89*,39.55,239,182.00,0,4,50,24,2024
15,Yashasvi JaiswalRR,16,15,1,435,104*,31.07,279,155.91,1,1,54,16,2024
16,Shubman GillGT,12,12,1,426,104,38.73,289,147.40,1,2,37,15,2024
17,Rohit SharmaMI,14,14,1,417,105*,32.08,278,150.00,1,1,45,23,2024
18,Tilak VarmaMI,13,13,3,416,65,41.60,278,149.64,0,3,35,19,2024
19,Shivam DubeCSK,14,14,3,396,66*,36.00,244,162.29,0,3,28,28,2024
20,Rajat PatidarRCB,15,13,0,395,55,30.38,223,177.13,0,5,21,33,2024
21,Marcus StoinisLSG,14,14,2,388,124*,32.33,263,147.52,1,2,39,16,2024
22,Tristan StubbsDC,14,13,6,378,71*,54.00,198,190.90,0,3,24,26,2024
23,Venkatesh IyerKKR,15,13,5,370,70,46.25,233,158.79,0,4,35,19,2024
24,Jos ButtlerRR,11,11,2,359,107*,39.89,255,140.78,2,0,36,12,2024
25,Shashank SinghPBKS,14,14,6,354,68*,44.25,215,164.65,0,2,28,21,2024
26,Shreyas IyerKKR,15,14,5,351,58*,39.00,239,146.86,0,2,34,14,2024
27,Suryakumar YadavMI,11,11,1,345,102*,34.50,206,167.47,1,3,36,18,2024
28,Prabhsimran SinghPBKS,14,14,0,334,71,23.86,213,156.80,0,2,34,20,2024
29,Jake Fraser - McGurkDC,9,9,0,330,84,36.67,141,234.04,0,4,32,28,2024
30,Abishek PorelDC,14,12,2,327,65,32.70,205,159.51,0,2,36,13,2024
31,Dinesh KarthikRCB,15,13,4,326,83,36.22,174,187.35,0,2,27,22,2024
32,Ishan KishanMI,14,14,0,320,69,22.86,215,148.83,0,1,35,16,2024
33,Daryl MitchellCSK,13,13,2,318,63,28.91,223,142.60,0,2,27,10,2024
34,Nitish Kumar ReddySRH,13,11,2,303,76*,33.67,212,142.92,0,2,15,21,2024
35,Jonny BairstowPBKS,11,11,1,298,108*,29.80,195,152.82,1,0,33,14,2024
36,Sam CurranPBKS,13,12,2,270,63*,27.00,219,123.28,0,2,24,6,2024
37,Ravindra JadejaCSK,14,11,5,267,57*,44.50,187,142.78,0,1,22,8,2024
38,Cameron GreenRCB,13,12,4,255,46,31.88,178,143.25,0,0,22,10,2024
39,Quinton De KockLSG,11,11,0,250,81,22.73,186,134.40,0,3,29,9,2024
40,Ajinkya RahaneCSK,13,12,0,242,45,20.17,196,123.46,0,0,23,7,2024
41,Tim DavidMI,13,11,3,241,45*,30.13,152,158.55,0,0,14,15,2024
42,Ayush BadoniLSG,14,12,4,235,55*,29.38,171,137.42,0,2,22,5,2024
43,Axar PatelDC,14,12,4,235,66,29.38,179,131.28,0,2,19,10,2024
44,Will JacksRCB,8,8,1,230,100*,32.86,131,175.57,1,1,16,18,2024
45,Andre RussellKKR,15,9,2,222,64*,31.71,120,185.00,0,1,20,16,2024
46,Rachin RavindraCSK,10,10,0,222,61,22.20,138,160.86,0,1,22,12,2024
47,Aiden MarkramSRH,11,11,2,220,50,24.44,177,124.29,0,1,18,4,2024
48,Hardik PandyaMI,14,13,1,216,46,18.00,151,143.04,0,0,17,11,2024
49,Shahbaz AhmedSRH,16,12,3,215,59*,23.89,166,129.51,0,1,7,13,2024
50,Rilee RossouwPBKS,8,8,0,211,61,26.38,116,181.89,0,1,25,11,2024
51,David MillerGT,9,9,3,210,55,35.00,139,151.07,0,1,20,8,2024
52,Prithvi ShawDC,8,8,0,198,66,24.75,121,163.63,0,1,30,5,2024
53,Dhruv JurelRR,15,11,3,195,56*,24.38,141,138.29,0,2,18,7,2024
