POS,Player,Mat,Inns,Ov,Wkts,Runs,BBI,Avg,Econ,SR,4w,5w,year
1,Harshal PatelPBKS,14,14,49,24,477,15/3,19.87,9.73,12.25,0,0,2024
2,Varun ChakaravarthyKKR,15,14,50,21,402,16/3,19.14,8.04,14.28,0,0,2024
3,Jasprit BumrahMI,13,13,51.5,20,336,21/5,16.8,6.48,15.55,0,1,2024
4,T NatarajanSRH,14,14,51.2,19,465,19/4,24.47,9.05,16.21,1,0,2024
5,Harshit RanaKKR,13,11,42.1,19,383,24/3,20.15,9.08,13.31,0,0,2024
6,Avesh KhanRR,16,15,54.5,19,526,27/3,27.68,9.59,17.31,0,0,2024
7,Arshdeep SinghPBKS,14,14,50.2,19,505,29/4,26.57,10.03,15.89,1,0,2024
8,Andre RussellKKR,15,14,29.2,19,295,19/3,15.52,10.05,9.26,0,0,2024
9,Pat CumminsSRH,16,16,61,18,566,43/3,31.44,9.27,20.33,0,0,2024
10,Yuzvendra ChahalRR,15,15,58,18,546,3-Nov,30.33,9.41,19.33,0,0,2024
11,Sunil NarineKKR,15,14,55,17,368,22/2,21.64,6.69,19.41,0,0,2024
12,Tushar DeshpandeCSK,13,13,48,17,424,27/4,24.94,8.83,16.94,1,0,2024
13,Khaleel AhmedDC,14,14,50,17,479,21/2,28.17,9.58,17.64,0,0,2024
14,Mukesh KumarDC,10,10,35.3,17,368,14/3,21.64,10.36,12.52,0,0,2024
15,Mitchell StarcKKR,14,13,41.5,17,444,33/4,26.11,10.61,14.76,1,0,2024
16,Trent BoultRR,16,15,53.2,16,443,22/3,27.68,8.3,20,0,0,2024
17,Kuldeep YadavDC,11,11,43,16,374,55/4,23.37,8.69,16.12,1,0,2024
18,Sam CurranPBKS,13,13,41,16,416,28/3,26,10.14,15.37,0,0,2024
19,Yash DayalRCB,14,14,50.1,15,459,20/3,30.6,9.14,20.06,0,0,2024
20,Mohammed SirajRCB,14,14,54,15,496,43/3,33.06,9.18,21.6,0,0,2024
21,Mustafizur RahmanCSK,9,9,34.2,14,318,29/4,22.71,9.26,14.71,1,0,2024
22,Naveen-Ul-HaqLSG,10,10,36.3,14,372,49/3,26.57,10.19,15.64,0,0,2024
23,Matheesha PathiranaCSK,6,6,22,13,169,28/4,13,7.68,10.15,1,0,2024
24,Sandeep SharmaRR,11,10,38,13,311,18/5,23.92,8.18,17.53,0,1,2024
25,Piyush ChawlaMI,11,11,35,13,312,29/3,24,8.91,16.15,0,0,2024
26,Gerald CoetzeeMI,10,10,33.3,13,341,34/4,26.23,10.17,15.46,1,0,2024
27,Mohit SharmaGT,12,11,39,13,425,25/3,32.69,10.89,18,0,0,2024
28,Axar PatelDC,14,14,44,11,337,25/2,30.63,7.65,24,0,0,2024
29,Kagiso RabadaPBKS,11,11,42,11,372,18/2,33.81,8.85,22.9,0,0,2024
30,Vaibhav AroraKKR,10,10,30,11,276,27/3,25.09,9.2,16.36,0,0,2024
31,Bhuvneshwar KumarSRH,16,16,57,11,533,41/3,48.45,9.35,31.09,0,0,2024
32,Hardik PandyaMI,14,12,36,11,387,31/3,35.18,10.75,19.63,0,0,2024
33,Yash ThakurLSG,10,10,35.3,11,402,30/5,36.54,11.32,19.36,0,1,2024
34,Rashid KhanGT,12,12,43.4,10,367,38/2,36.7,8.4,26.2,0,0,2024
35,Cameron GreenRCB,13,13,35.1,10,303,2-Dec,30.3,8.61,21.1,0,0,2024
36,Ravi BishnoiLSG,14,14,43.4,10,383,25/2,38.3,8.77,26.2,0,0,2024
37,Rahul ChaharPBKS,9,9,31,10,279,23/3,27.9,9,18.6,0,0,2024
38,Ishant SharmaDC,9,9,27,10,265,34/3,26.5,9.81,16.2,0,0,2024
39,Mohsin KhanLSG,9,10,38,10,385,29/2,38.5,10.13,22.8,0,0,2024
40,Ravichandran AshwinRR,15,14,55,9,467,24/3,51.88,8.49,36.66,0,0,2024
41,Lockie FergusonRCB,7,7,24,9,255,23/2,28.33,10.62,16,0,0,2024
42,Rasikh SalamDC,8,8,24.3,9,269,34/3,29.88,10.97,16.33,0,0,2024
43,Ravindra JadejaCSK,14,14,47,8,369,18/3,46.12,7.85,35.25,0,0,2024
44,Noor AhmadGT,10,10,34.5,8,290,20/2,36.25,8.32,26.12,0,0,2024
45,Nuwan ThusharaMI,7,7,26,8,257,28/3,32.12,9.88,19.5,0,0,2024
46,Umesh YadavGT,7,7,21,8,210,22/2,26.25,10,15.75,0,0,2024
47,Jaydev UnadkatSRH,11,11,31.1,8,319,30/3,39.87,10.23,23.37,0,0,2024
48,Mayank MarkandeSRH,7,7,22,8,259,26/2,32.37,11.77,16.5,0,0,2024
