,POS,Player,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w,year
0,1,Mohammad ShamiGT,17,17,65.0,522,28,11/4,18.64,8.03,13.92,2,0,2023
1,2,Mohit SharmaGT,14,14,44.1,361,27,10/5,13.37,8.17,9.81,2,1,2023
2,3,Rashid KhanGT,17,17,67.0,552,27,30/4,20.44,8.23,14.88,1,0,2023
3,4,Piyush ChawlaMI,16,16,61.0,495,22,22/3,22.50,8.11,16.63,0,0,2023
4,5,Yuzvendra ChahalRR,14,14,52.5,432,21,17/4,20.57,8.17,15.09,3,0,2023
5,6,Tushar DeshpandeCSK,16,16,56.5,564,21,45/3,26.85,9.92,16.23,0,0,2023
6,7,Ravindra JadejaCSK,16,16,57.0,431,20,20/3,21.55,7.56,17.10,0,0,2023
7,8,Varun ChakaravarthyKKR,14,14,52.4,429,20,15/4,21.45,8.14,15.80,1,0,2023
8,9,Mohammed SirajRCB,14,14,50.0,376,19,21/4,19.78,7.52,15.78,1,0,2023
9,10,Matheesha PathiranaCSK,12,12,46.2,371,19,15/3,19.52,8.00,14.63,0,0,2023
10,11,Arshdeep SinghPBKS,14,14,50.5,493,17,29/4,29.00,9.69,17.94,1,0,2023
11,12,Ravi BishnoiLSG,15,14,50.3,391,16,28/3,24.43,7.74,18.93,0,0,2023
12,13,Noor AhmadGT,13,13,47.1,369,16,37/3,23.06,7.82,17.68,0,0,2023
13,14,Bhuvneshwar KumarSRH,14,14,51.0,425,16,30/5,26.56,8.33,19.12,0,1,2023
14,15,Ravichandran AshwinRR,13,13,49.0,368,14,23/2,26.28,7.51,21.00,0,0,2023
15,16,Akash MadhwalMI,8,8,25.3,219,14,5/5,15.64,8.58,10.92,1,1,2023
16,17,Jason BehrendorffMI,12,12,42.0,387,14,23/3,27.64,9.21,18.00,0,0,2023
17,18,Harshal PatelRCB,13,13,47.0,454,14,32/3,32.42,9.65,20.14,0,0,2023
18,19,Trent BoultRR,10,10,38.0,312,13,29/3,24.00,8.21,17.53,0,0,2023
19,20,Deepak ChaharCSK,10,10,34.0,297,13,22/3,22.84,8.73,15.69,0,0,2023
20,21,Nathan EllisPBKS,10,10,38.0,339,13,30/4,26.07,8.92,17.53,1,0,2023
21,22,Yash ThakurLSG,9,9,31.5,289,13,37/4,22.23,9.07,14.69,1,0,2023
22,23,Mayank MarkandeSRH,10,10,38.0,300,12,15/4,25.00,7.89,19.00,1,0,2023
23,24,Mitchell MarshDC,9,8,20.1,170,12,27/4,14.16,8.42,10.08,1,0,2023
24,25,Axar PatelDC,14,13,47.0,338,11,13/2,30.72,7.19,25.63,0,0,2023
25,26,Naveen-ul-HaqLSG,8,7,28.0,219,11,38/4,19.90,7.82,15.27,1,0,2023
26,27,Sunil NarineKKR,14,14,48.0,383,11,33/3,34.81,7.97,26.18,0,0,2023
27,28,Maheesh TheekshanaCSK,13,13,49.0,392,11,23/2,35.63,8.00,26.72,0,0,2023
28,29,Mark WoodLSG,4,4,16.0,130,11,14/5,11.81,8.12,8.72,0,1,2023
29,30,Kuldeep YadavDC,14,14,49.0,361,10,15/2,36.10,7.36,29.40,0,0,2023
30,31,Suyash SharmaKKR,11,11,39.0,321,10,30/3,32.10,8.23,23.40,0,0,2023
31,32,Ishant SharmaDC,8,8,25.0,206,10,19/2,20.60,8.24,15.00,0,0,2023
