,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s,year,Seasons,Batting_Runs_Score,Batting_Avg_Score,Batting_SR_Score,Landmarks,Batting_Landmarks_Score,total_boundaries,Batting_total_boundaries_Score,Batting_Total_rating
110,Cameron Green,16,16,7,452,100,50.22,282,160.28,1,2,40,22,2023,1,1,5,5,3,1,62,2,14
144,David Miller,120,114,40,2714,94,36.60818181818182,1961,131.69818181818184,1,12,187,126,2023,11,5,5,4,13,3,313,5,22
145,David Warner,169,169,22,6234,93,42.22,4440,139.61615384615385,4,60,630,221,2023,13,5,5,4,64,5,851,5,24
154,Devon Conway,23,22,3,924,92,46.845,654,142.68,0,9,99,30,2023,2,2,5,5,9,2,129,3,17
181,Faf Du Plessis,30,30,2,1198,96,43.675,842,140.6,0,11,109,49,2023,2,3,5,5,11,3,158,4,20
253,Jos Buttler,96,95,10,3223,95,37.332499999999996,2173,148.0925,5,19,319,149,2023,8,5,5,5,24,5,468,5,25
307,MS Dhoni,250,218,87,5082,84,41.3525,3739,136.455625,0,24,349,239,2023,16,5,5,4,24,5,588,5,24
419,Quinton De Kock,19,19,1,651,70,36.019999999999996,443,144.57999999999998,1,4,57,31,2023,2,2,5,5,5,1,88,2,15
468,Ruturaj Gaikwad,38,37,5,1429,92,46.163333333333334,1035,134.82333333333332,1,11,126,59,2023,3,3,5,4,12,3,185,4,19
477,Sai Sudharsan,13,13,2,507,96,43.980000000000004,370,134.29500000000002,0,4,47,15,2023,2,2,5,4,4,1,62,2,14
527,Shubman Gill,91,88,14,2790,96,37.08166666666667,2081,132.89666666666668,3,18,273,80,2023,6,5,5,4,21,5,353,5,24
567,Tilak Varma,25,25,6,740,84,39.485,512,147.565,0,3,55,39,2023,2,2,5,5,3,1,94,2,15
606,Vivrant Sharma,3,1,0,69,69,69.0,47,146.8,0,1,9,2,2023,1,1,1,1,1,1,11,1,5
