,Player,Batting_Runs_Score,Batting_Avg_Score,Batting_SR_Score,Batting_Landmarks_Score,Batting_total_boundaries_Score,Batting_Total_rating,Bowling_Wkts_Score,Bowling_Avg_Score,Bowling_SR_Score,Bowling_Landmarks_Score,Bowling_Econ_Score,Bowling_Total_rating,All_rounder_rating
61,Ravindra Jadeja,5,3,4,1,5,18,5,2,3,4,4,18,18.0
54,Nitish Rana,5,3,4,4,5,21,1,4,5,1,3,14,17.5
69,Sunil Narine,3,1,3,1,4,12,5,2,3,5,5,20,16.0
8,Andre Russell,5,3,5,2,5,20,4,1,3,3,1,12,16.0
22,Glenn Maxwell,5,3,5,4,5,22,2,1,2,1,3,9,15.5
58,Rashid Khan,1,2,5,1,2,11,5,4,4,1,5,19,15.0
14,Axar Patel,3,3,4,1,4,15,5,1,2,1,5,14,14.5
7,Amit Mishra,1,2,2,1,1,7,5,3,4,5,5,22,14.5
24,Hardik Pandya,5,3,5,2,5,20,3,1,1,1,2,8,14.0
35,Krunal Pandya,4,3,4,1,4,16,3,1,2,1,5,12,14.0
60,Ravichandran Ashwin,2,2,3,1,2,10,5,3,3,1,5,17,13.5
47,Moeen Ali,3,2,4,1,3,13,2,3,3,1,5,14,13.5
15,Bhuvneshwar Kumar,1,1,2,1,1,6,5,3,3,5,5,21,13.5
45,Mitchell Marsh,2,2,2,1,2,9,2,4,5,1,4,16,12.5
56,Piyush Chawla,2,2,2,1,2,9,5,3,4,1,3,16,12.5
41,Marcus Stoinis,3,3,4,2,4,16,2,1,3,1,1,8,12.0
39,Liam Livingstone,2,3,5,2,3,15,1,1,4,1,1,8,11.5
64,Sam Curran,2,3,5,1,2,13,2,1,4,1,1,9,11.0
53,Naveen-ul-Haq,1,1,1,1,1,5,1,5,5,1,4,16,10.5
59,Ravi Bishnoi,1,1,1,1,1,5,3,3,4,1,5,16,10.5
77,Wanindu Hasaranga,1,1,1,1,1,5,2,4,5,2,3,16,10.5
42,Mark Wood,1,1,1,1,1,5,1,5,5,1,3,15,10.0
33,Karn Sharma,1,1,3,1,1,7,3,3,4,1,2,13,10.0
0,Abhishek Sharma,2,3,4,1,3,13,1,1,3,1,1,7,10.0
65,Sandeep Sharma,1,1,1,1,1,5,5,2,3,1,4,15,10.0
9,Anrich Nortje,1,1,1,1,1,5,3,4,4,1,3,15,10.0
67,Shardul Thakur,1,1,4,1,1,8,4,2,4,1,1,12,10.0
79,Wayne Parnell,1,1,1,1,1,5,2,3,4,1,4,14,9.5
70,Trent Boult,1,1,1,1,1,5,5,2,4,1,2,14,9.5
16,Cameron Green,1,5,5,1,2,14,1,1,1,1,1,5,9.5
44,Michael Bracewell,1,1,1,1,1,5,1,5,5,1,2,14,9.5
55,Noor Ahmad,1,1,1,1,1,5,1,4,4,1,4,14,9.5
1,Adam Zampa,1,1,1,1,1,5,2,3,4,1,4,14,9.5
3,Aiden Markram,2,4,4,1,2,13,1,1,1,1,1,5,9.0
78,Washington Sundar,1,2,3,1,1,8,2,1,2,1,4,10,9.0
49,Mohammed Siraj,1,1,1,1,1,5,4,2,4,1,2,13,9.0
10,Anukul Roy,1,1,1,1,1,5,1,3,3,1,5,13,9.0
75,Varun Chakaravarthy,1,1,1,1,1,5,3,2,3,2,3,13,9.0
13,Arshdeep Singh,1,1,1,1,1,5,3,3,4,2,1,13,9.0
26,Harshal Patel,1,1,1,1,1,5,5,1,3,3,1,13,9.0
46,Mitchell Santner,1,1,1,1,1,5,1,3,3,1,5,13,9.0
25,Harpreet Brar,1,1,1,1,1,5,1,3,3,1,4,12,8.5
38,Lalit Yadav,1,3,3,1,1,9,1,1,2,1,3,8,8.5
72,Umesh Yadav,1,1,1,1,1,5,5,1,2,2,2,12,8.5
48,Mohammad Shami,1,1,1,1,1,5,5,1,3,1,2,12,8.5
30,Jason Holder,1,2,4,1,1,9,3,1,2,1,1,8,8.5
76,Vyshak Vijaykumar,1,1,1,1,1,5,1,3,5,1,1,11,8.0
40,Marco Jansen,1,1,1,1,1,5,1,3,4,1,2,11,8.0
20,Deepak Chahar,1,1,1,1,1,5,3,1,3,1,3,11,8.0
17,Chetan Sakariya,1,1,1,1,1,5,1,3,4,1,2,11,8.0
