,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s,year,Seasons,Batting_Runs_Score,Batting_Avg_Score,Batting_SR_Score,Landmarks,Batting_Landmarks_Score,total_boundaries,Batting_total_boundaries_Score,Batting_Total_rating
253,Jos Buttler,96,95,10,3223,95,37.332499999999996,2173,148.0925,5,19,319,149,2023,8,5,5,5,24,5,468,5,25
554,Suryakumar Yadav,138,123,22,3249,82,31.206,2263,140.511,1,21,349,112,2023,10,5,4,5,22,5,461,5,24
307,MS Dhoni,250,218,87,5082,84,41.3525,3739,136.455625,0,24,349,239,2023,16,5,5,4,24,5,588,5,24
527,Shubman Gill,91,88,14,2790,96,37.08166666666667,2081,132.89666666666668,3,18,273,80,2023,6,5,5,4,21,5,353,5,24
145,David Warner,169,169,22,6234,93,42.22,4440,139.61615384615385,4,60,630,221,2023,13,5,5,4,64,5,851,5,24
602,Virat Kohli,237,229,34,7263,99,37.4325,5586,127.37625,7,50,643,234,2023,16,5,5,4,57,5,877,5,24
512,Shikhar Dhawan,217,216,29,6617,99,34.201875,5203,124.456875,2,50,750,148,2023,16,5,4,4,52,5,898,5,23
42,Ambati Rayudu,204,187,33,4348,81,28.050714285714285,3409,128.28571428571428,1,22,359,173,2023,14,5,3,4,23,5,532,5,22
486,Sanju Samson,152,148,15,3888,92,29.082727272727276,2834,136.4609090909091,3,20,304,182,2023,11,5,3,4,23,5,486,5,22
189,Glenn Maxwell,124,120,17,2719,95,23.227272727272727,1725,142.0,0,18,226,158,2023,11,5,3,5,18,4,384,5,22
315,Manish Pandey,170,158,27,3808,94,30.69125,3148,115.16437499999999,1,22,333,108,2023,16,5,4,3,23,5,441,5,22
144,David Miller,120,114,40,2714,94,36.60818181818182,1961,131.69818181818184,1,12,187,126,2023,11,5,5,4,13,3,313,5,22
462,Rohit Sharma,243,238,28,6211,98,29.925625,4776,129.903125,1,42,554,257,2023,16,5,3,4,43,5,811,5,22
163,Dinesh Karthik,227,208,41,4228,97,26.676666666666666,3186,133.18666666666667,0,19,419,130,2023,15,5,3,4,19,4,549,5,21
382,Nitish Rana,105,99,9,2594,87,29.60625,1918,135.94,0,18,229,131,2023,8,5,3,4,18,4,360,5,21
27,Ajinkya Rahane,172,159,17,4400,91,26.814000000000004,3565,115.27533333333332,2,30,455,96,2023,15,5,3,3,32,5,551,5,21
613,Wriddhiman Saha,161,136,24,2798,93,28.041875,2185,125.161875,1,13,278,84,2023,16,5,3,4,14,3,362,5,20
331,Mayank Agarwal,123,117,4,2597,99,20.705384615384617,1943,125.88000000000001,1,13,255,97,2023,13,5,3,4,14,3,352,5,20
216,Ishan Kishan,90,85,6,2324,99,27.794999999999998,1731,128.73125,0,15,220,103,2023,8,5,3,4,15,3,323,5,20
428,Rahul Tripathi,89,87,11,2071,93,26.882857142857144,1490,136.42714285714285,0,11,205,78,2023,7,5,3,4,11,3,283,5,20
181,Faf Du Plessis,30,30,2,1198,96,43.675,842,140.6,0,11,109,49,2023,2,3,5,5,11,3,158,4,20
198,Hardik Pandya,123,115,39,2309,91,29.20888888888889,1583,143.54,0,10,172,125,2023,9,5,3,5,10,2,297,5,20
47,Andre Russell,112,96,18,2262,88,25.04090909090909,1300,149.87727272727273,0,10,150,193,2023,11,5,3,5,10,2,343,5,20
417,Prithvi Shaw,71,71,0,1694,99,23.381666666666664,1162,143.35833333333332,0,13,208,56,2023,6,4,3,5,13,3,264,5,20
468,Ruturaj Gaikwad,38,37,5,1429,92,46.163333333333334,1035,134.82333333333332,1,11,126,59,2023,3,3,5,4,12,3,185,4,19
445,Ravindra Jadeja,226,173,71,2692,62,29.706666666666667,2094,129.68933333333334,0,2,193,99,2023,15,5,3,4,2,1,292,5,18
153,Devdutt Padikkal,57,57,2,1521,74,27.84,1213,125.8675,1,9,166,42,2023,4,4,3,4,10,2,208,5,18
154,Devon Conway,23,22,3,924,92,46.845,654,142.68,0,9,99,30,2023,2,2,5,5,9,2,129,3,17
378,Nicholas Pooran,62,59,12,1270,77,27.82,810,151.16400000000002,0,6,78,91,2023,5,3,3,5,6,2,169,4,17
314,Mandeep Singh,107,96,16,1702,77,18.479166666666668,1377,114.84833333333334,0,6,175,38,2023,12,4,2,3,6,2,213,5,16
257,K L Rahul,24,24,4,890,74,42.79,697,124.3,2,6,73,34,2023,2,2,5,4,8,2,107,3,16
283,Krunal Pandya,113,99,30,1514,86,23.153750000000002,1135,133.61875,0,1,136,56,2023,8,4,3,4,1,1,192,4,16
616,Yashasvi Jaiswal,37,37,1,1172,68,28.0275,788,133.925,1,8,144,48,2023,4,3,3,4,9,2,192,4,16
322,Marcus Stoinis,82,74,20,1478,9,27.24125,1051,130.10125,0,7,111,75,2023,8,3,3,4,7,2,186,4,16
513,Shimron Hetmyer,60,57,22,1131,75,31.610000000000003,743,149.106,0,4,67,75,2023,5,3,4,5,4,1,142,3,16
152,Deepak Hooda,107,87,15,1320,64,26.923333333333332,1026,126.58222222222223,0,7,80,58,2023,9,3,3,4,7,2,138,3,15
514,Shivam Dube,51,47,8,1106,95,25.48,780,135.554,0,6,58,73,2023,5,3,3,4,6,2,131,3,15
567,Tilak Varma,25,25,6,740,84,39.485,512,147.565,0,3,55,39,2023,2,2,5,5,3,1,94,2,15
82,Axar Patel,136,101,32,1418,54,20.551,1084,126.258,0,1,88,69,2023,10,3,3,4,1,1,157,4,15
299,Liam Livingstone,32,32,4,829,94,25.840000000000003,500,148.8925,0,6,58,59,2023,4,2,3,5,6,2,117,3,15
419,Quinton De Kock,19,19,1,651,70,36.019999999999996,443,144.57999999999998,1,4,57,31,2023,2,2,5,5,5,1,88,2,15
110,Cameron Green,16,16,7,452,100,50.22,282,160.28,1,2,40,22,2023,1,1,5,5,3,1,62,2,14
477,Sai Sudharsan,13,13,2,507,96,43.980000000000004,370,134.29500000000002,0,4,47,15,2023,2,2,5,4,4,1,62,2,14
593,Venkatesh Iyer,36,36,2,956,67,28.84,734,127.33333333333333,1,7,86,42,2023,3,2,3,4,8,2,128,3,14
596,Vijay Shankar,64,53,14,1032,63,28.865714285714287,787,118.75285714285714,0,6,73,43,2023,7,3,3,3,6,2,116,3,14
236,Jason Roy,21,21,2,614,91,31.2825,443,137.675,0,4,75,21,2023,4,2,4,4,4,1,96,2,13
