,Player,Mat,Inns,Ov,Runs,Wkts,Avg,Econ,SR,4w,5w,year,Seasons,Landmarks,Bowling_Wkts_Score,Bowling_Avg_Score,Bowling_SR_Score,Bowling_Econ_Score,Bowling_Landmarks_Score,Bowling_Total_rating
426,Yuzvendra Chahal,144,143,523.5,4022,187,22.488999999999997,7.68,17.802,6,1,2023,10,8,5,4,4,4,5,22
26,Amit Mishra,161,161,559.0,4129,173,25.040000000000003,7.454,19.85666666666667,4,1,2023,15,6,5,3,4,5,5,22
68,Bhuvneshwar Kumar,160,160,593.1,4396,170,29.52846153846154,7.297692307692308,24.117692307692305,2,2,2023,13,6,5,3,3,5,5,21
179,Kagiso Rabada,69,69,260.0,2198,106,24.25,8.606666666666667,16.728333333333335,6,0,2023,6,6,5,4,5,2,5,21
376,Sunil Narine,162,161,624.0,4203,163,30.469166666666666,6.8374999999999995,26.24416666666667,7,1,2023,12,9,5,2,3,5,5,20
300,Rashid Khan,109,109,432.5,2885,139,20.805714285714284,6.644285714285715,18.93285714285714,2,0,2023,7,2,5,4,4,5,1,19
305,Ravindra Jadeja,212,195,587.0,4474,152,33.85785714285714,7.602142857142857,26.285,3,1,2023,14,5,5,2,3,4,4,18
241,Mohit Sharma,100,100,334.1,2831,119,29.38888888888889,8.875555555555556,19.371111111111112,3,1,2023,9,5,5,3,4,2,4,18
304,Ravichandran Ashwin,197,194,698.0,4903,171,28.606428571428573,6.757857142857143,24.67142857142857,1,0,2023,14,1,5,3,3,5,1,17
231,Mitchell Marsh,37,30,84.1,686,36,22.508333333333336,7.851666666666667,16.715,2,0,2023,6,2,2,4,5,4,1,16
258,Naveen-ul-Haq,8,7,28.0,219,11,19.9,7.82,15.27,1,0,2023,1,1,1,5,5,4,1,16
301,Ravi Bishnoi,52,51,190.3,1445,53,27.3325,7.4725,21.7125,0,0,2023,4,0,3,3,4,5,1,16
414,Wanindu Hasaranga,24,24,86.0,688,35,22.595,8.215,16.24,1,1,2023,2,3,2,4,5,3,2,16
279,Piyush Chawla,181,180,605.0,4796,179,28.445333333333334,8.09,21.11466666666667,2,0,2023,15,2,5,3,4,3,1,16
17,Akash Madhwal,8,8,25.3,219,14,15.64,8.58,10.92,1,1,2023,1,3,1,5,5,2,2,15
222,Mark Wood,4,4,16.0,130,11,11.81,8.12,8.72,0,1,2023,1,2,1,5,5,3,1,15
43,Anrich Nortje,40,40,153.2,1280,53,24.84,8.34,17.6675,0,0,2023,4,0,3,4,4,3,1,15
