,Player,Mat,Inns,Ov,Runs,Wkts,Avg,Econ,SR,4w,5w,year
0,Mohammad Shami,17,17,65.0,522,28,18.64,8.03,13.92,2,0,2023
1,Mohit Sharma,14,14,44.1,361,27,13.37,8.17,9.81,2,1,2023
2,Rashid Khan,17,17,67.0,552,27,20.44,8.23,14.88,1,0,2023
3,Piyush Chawla,16,16,61.0,495,22,22.5,8.11,16.63,0,0,2023
4,Yuzvendra Chahal,14,14,52.5,432,21,20.57,8.17,15.09,3,0,2023
5,Tushar Deshpande,16,16,56.5,564,21,26.85,9.92,16.23,0,0,2023
6,Ravindra Jadeja,16,16,57.0,431,20,21.55,7.56,17.1,0,0,2023
7,Varun Chakaravarthy,14,14,52.4,429,20,21.45,8.14,15.8,1,0,2023
8,Mohammed Siraj,14,14,50.0,376,19,19.78,7.52,15.78,1,0,2023
9,Matheesha Pathirana,12,12,46.2,371,19,19.52,8.0,14.63,0,0,2023
10,Arshdeep Singh,14,14,50.5,493,17,29.0,9.69,17.94,1,0,2023
11,Ravi Bishnoi,15,14,50.3,391,16,24.43,7.74,18.93,0,0,2023
12,Noor Ahmad,13,13,47.1,369,16,23.06,7.82,17.68,0,0,2023
13,Bhuvneshwar Kumar,14,14,51.0,425,16,26.56,8.33,19.12,0,1,2023
14,Ravichandran Ashwin,13,13,49.0,368,14,26.28,7.51,21.0,0,0,2023
15,Akash Madhwal,8,8,25.3,219,14,15.64,8.58,10.92,1,1,2023
16,Jason Behrendorff,12,12,42.0,387,14,27.64,9.21,18.0,0,0,2023
17,Harshal Patel,13,13,47.0,454,14,32.42,9.65,20.14,0,0,2023
18,Trent Boult,10,10,38.0,312,13,24.0,8.21,17.53,0,0,2023
19,Deepak Chahar,10,10,34.0,297,13,22.84,8.73,15.69,0,0,2023
20,Nathan Ellis,10,10,38.0,339,13,26.07,8.92,17.53,1,0,2023
21,Yash Thakur,9,9,31.5,289,13,22.23,9.07,14.69,1,0,2023
22,Mayank Markande,10,10,38.0,300,12,25.0,7.89,19.0,1,0,2023
23,Mitchell Marsh,9,8,20.1,170,12,14.16,8.42,10.08,1,0,2023
24,Axar Patel,14,13,47.0,338,11,30.72,7.19,25.63,0,0,2023
25,Naveen-ul-Haq,8,7,28.0,219,11,19.9,7.82,15.27,1,0,2023
26,Sunil Narine,14,14,48.0,383,11,34.81,7.97,26.18,0,0,2023
27,Maheesh Theekshana,13,13,49.0,392,11,35.63,8.0,26.72,0,0,2023
28,Mark Wood,4,4,16.0,130,11,11.81,8.12,8.72,0,1,2023
29,Kuldeep Yadav,14,14,49.0,361,10,36.1,7.36,29.4,0,0,2023
30,Suyash Sharma,11,11,39.0,321,10,32.1,8.23,23.4,0,0,2023
31,Ishant Sharma,8,8,25.0,206,10,20.6,8.24,15.0,0,0,2023
32,Sandeep Sharma,12,12,46.0,396,10,39.6,8.6,27.6,0,0,2023
33,Anrich Nortje,10,10,40.0,364,10,36.4,9.1,24.0,0,0,2023
34,T Natarajan,12,12,45.0,410,10,41.0,9.11,27.0,0,0,2023
35,Marco Jansen,8,8,27.0,267,10,26.7,9.88,16.2,0,0,2023
36,Sam Curran,14,14,47.5,489,10,48.9,10.22,28.7,0,0,2023
37,Karn Sharma,7,7,21.3,223,10,22.3,10.37,12.9,0,0,2023
38,Krunal Pandya,15,12,42.0,313,9,34.77,7.45,28.0,0,0,2023
39,Moeen Ali,15,11,26.0,195,9,21.66,7.5,17.33,1,0,2023
40,Harpreet Brar,13,11,27.1,218,9,24.22,8.02,18.11,1,0,2023
41,Wanindu Hasaranga,8,8,29.0,258,9,28.66,8.89,19.33,0,0,2023
42,Khaleel Ahmed,9,9,33.0,301,9,33.44,9.12,22.0,0,0,2023
43,Wayne Parnell,7,7,25.1,236,9,26.22,9.37,16.77,0,0,2023
44,Vyshak Vijaykumar,7,7,24.0,253,9,28.11,10.54,16.0,0,0,2023
45,Rahul Chahar,14,14,49.4,385,8,48.12,7.75,37.25,0,0,2023
46,Adam Zampa,6,6,22.0,188,8,23.5,8.54,16.5,0,0,2023
47,Avesh Khan,9,9,29.0,283,8,35.37,9.75,21.75,0,0,2023
48,Amit Mishra,7,7,19.0,149,7,21.28,7.84,16.28,0,0,2023
49,Josh Little,10,10,34.0,294,7,42.0,8.64,29.14,0,0,2023
50,Alzarri Joseph,7,7,24.0,225,7,32.14,9.37,20.57,0,0,2023
51,Kagiso Rabada,6,6,23.0,232,7,33.14,10.08,19.71,0,0,2023
52,Shardul Thakur,11,9,21.0,220,7,31.42,10.47,18.0,0,0,2023
53,Mukesh Kumar,10,10,31.0,326,7,46.57,10.51,26.57,0,0,2023
54,Riley Meredith,5,5,19.4,207,7,29.57,10.52,16.85,0,0,2023
55,Andre Russell,14,9,15.1,172,7,24.57,11.34,13.0,0,0,2023
56,Michael Bracewell,5,5,11.0,95,6,15.83,8.63,11.0,0,0,2023
