,Player,Mat,Inns,Ov,Runs,Wkts,Avg,Econ,SR,4w,5w,year,Seasons
0,Aaron Finch,14,3,4.0,49,1,49.0,12.25,24.0,0,0,2013,1
1,Aavishkar Salvi,2,2,8.0,66,3,22.0,8.25,16.0,0,0,2011,1
2,Abdul Samad,12,3,7.0,96,1,96.0,13.71,42.0,0,0,2020,1
3,Abhimanyu Mithun,14,14,41.0,397,7,46.73333333333333,10.563333333333333,27.599999999999998,0,0,2013,3
4,Abhishek Jhunjhunwala,5,3,6.0,38,1,38.0,6.33,36.0,0,0,2012,1
5,Abhishek Nayar,48,18,37.0,306,9,41.5,8.355,28.625,0,0,2013,4
6,Abhishek Sharma,30,19,34.0,300,9,36.125,9.0825,23.25,0,0,2023,4
7,Abu Nechim,9,9,33.0,286,7,60.22,8.32,38.22,0,0,2015,3
8,Adam Milne,9,9,32.0,308,7,43.77333333333333,9.89,26.666666666666668,0,0,2021,3
9,Adam Zampa,20,20,70.0,558,29,25.59,7.967499999999999,18.75,0,1,2023,4
10,Adil Rashid,2,2,7.0,56,2,28.0,8.0,21.0,0,0,2023,1
11,Aditya Dole,3,3,11.0,112,5,22.4,10.18,13.2,0,0,2010,1
12,Aiden Markram,27,10,14.1,134,2,67.0,9.615,42.5,0,0,2023,2
13,Ajantha Mendis,10,10,40.0,285,8,33.75,7.015,29.0,0,0,2013,4
14,Ajit Agarkar,38,38,120.0,1059,29,39.495999999999995,8.846,26.482,0,0,2012,5
15,Ajit Chandila,12,12,39.0,242,11,21.6,6.1899999999999995,20.9,1,0,2013,2
16,Akash Deep,7,7,23.5,264,6,50.0,11.34,26.3,0,0,2023,2
17,Akash Madhwal,8,8,25.3,219,14,15.64,8.58,10.92,1,1,2023,1
18,Akash Singh,6,6,19.0,188,5,37.6,9.89,22.8,0,0,2023,1
19,Akeal Hosein,1,1,4.0,40,1,40.0,10.0,24.0,0,0,2023,1
20,Akshath Reddy,5,1,3.0,32,1,32.0,10.66,18.0,0,0,2012,1
21,Albie Morkel,91,87,286.0,2355,85,29.31222222222222,8.657777777777778,20.645555555555557,1,0,2016,9
22,Alfonso Thomas,15,15,52.0,406,14,31.665,7.745,24.5,0,0,2012,2
23,Ali Murtaza,11,11,42.0,302,9,33.553333333333335,7.609999999999999,28.0,0,0,2013,3
24,Alzarri Joseph,16,16,54.0,489,14,34.925,9.085,23.14,0,0,2023,2
25,Alzarri Joseph ,3,3,8.0,87,6,14.5,10.03,8.66,0,1,2019,1
26,Amit Mishra,161,161,559.0,4129,173,25.040000000000003,7.454,19.85666666666667,4,1,2023,15
27,Amit Singh,23,23,78.0,620,28,21.810000000000002,7.466666666666666,16.786666666666665,1,0,2012,3
28,Amit Uniyal,2,2,6.0,66,2,33.0,11.0,18.0,0,0,2010,1
29,Anand Rajan,8,8,25.0,201,8,24.66333333333333,8.153333333333334,19.22,0,0,2013,3
30,Andre Nel,1,1,3.0,31,1,31.0,10.33,18.0,0,0,2008,1
31,Andre Russell,109,95,245.2,2283,96,39.61,9.609,24.323,2,1,2023,10
32,Andrew Flintoff,3,3,11.0,105,2,52.5,9.54,33.0,0,0,2009,1
33,Andrew McDonald,9,8,26.0,216,11,18.933333333333334,8.15,13.6,0,0,2013,3
34,Andrew Symonds,35,27,81.0,573,20,31.616666666666664,7.973333333333334,23.689999999999998,0,0,2011,3
35,Andrew Tye,30,30,114.0,979,42,42.314,9.504000000000001,25.1,3,1,2022,5
36,Angelo Mathews,45,41,124.0,992,27,37.4525,7.922499999999999,28.3275,1,0,2015,4
37,Aniket Choudhary,5,5,17.0,144,5,28.8,8.55,20.2,0,0,2017,1
38,Anil Kumble,42,42,160.0,1058,45,27.959999999999997,6.736666666666667,24.03333333333333,2,1,2010,3
39,Ankeet Chavan,11,11,36.0,299,8,48.355000000000004,7.815,38.71,0,0,2013,2
40,Ankit Rajpoot,29,29,88.0,814,24,44.13999999999999,9.168333333333333,27.378333333333334,0,1,2020,6
41,Ankit Sharma,19,18,57.0,406,12,43.5,6.99,35.5625,0,0,2016,4
42,Ankit Soni,7,6,18.0,144,2,72.0,7.92,54.5,0,0,2017,1
43,Anrich Nortje,40,40,153.2,1280,53,24.84,8.34,17.6675,0,0,2023,4
44,Anukul Roy,7,6,17.0,131,5,29.22,7.156666666666666,23.333333333333332,0,0,2023,3
45,Anureet Singh,20,19,60.0,554,18,32.166666666666664,9.633333333333333,19.886666666666667,0,0,2018,3
46,Arjun Tendulkar,4,4,9.5,92,3,30.66,9.35,19.66,0,0,2023,1
47,Arshad Khan,6,6,14.1,190,5,38.0,13.41,17.0,0,0,2023,1
48,Arshdeep Singh,51,51,176.5,1547,57,29.410000000000004,9.065999999999999,19.652,1,1,2023,5
49,Ashish Nehra,75,75,267.0,2149,87,24.3925,8.175,17.94625,1,0,2017,8
