,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s,year,Seasons
117,Cameron Green,29,28,11,707,46,41.05,460,151.765,1,2,62,32,2024,2
190,Faf Du Plessis,45,45,2,1636,96,38.85,1113,147.60666666666665,0,15,156,70,2024,3
239,Jake Fraser - McGurk,9,9,0,330,84,36.67,141,234.04,0,4,32,28,2024,1
264,Jonny Bairstow,50,50,4,1589,97,36.221999999999994,1100,144.63400000000001,2,9,166,69,2024,5
265,Jos Buttler,107,106,12,3582,95,37.61666666666667,2428,147.28,7,19,355,161,2024,9
398,Nicholas Pooran,76,73,18,1769,77,33.58,1090,155.67166666666665,0,9,113,127,2024,6
422,Phil Salt,21,21,2,653,89,33.4,372,172.95,0,6,74,34,2024,2
455,Rajat Patidar,27,24,1,799,55,34.54333333333333,503,148.13,1,7,51,54,2024,3
477,Rishabh Pant,111,110,17,3284,97,34.8225,2205,147.7225,1,18,296,154,2024,8
601,Tilak Varma,38,38,9,1156,84,40.190000000000005,790,148.25666666666666,0,6,90,58,2024,3
612,Travis Head,25,25,4,772,75,32.56666666666667,444,155.45333333333335,1,5,76,40,2024,3
649,Will Jacks,8,8,1,230,100,32.86,131,175.57,1,1,16,18,2024,1
