,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s,year
0,Virat Kohli,15,15,3,741,113,61.75,479,154.69,1,5,62,38,2024
1,Ruturaj Gaikwad,14,14,3,583,108,53.0,413,141.16,1,4,58,18,2024
2,Riyan Parag,16,14,3,573,84,52.09,384,149.21,0,4,40,33,2024
3,Travis Head,15,15,1,567,102,40.5,296,191.55,1,4,64,32,2024
4,Sanju Samson,16,15,4,531,86,48.27,346,153.46,0,5,48,24,2024
5,Sai Sudharsan,12,12,1,527,103,47.91,373,141.28,1,2,48,16,2024
6,K L Rahul,14,14,0,520,82,37.14,382,136.12,0,4,45,19,2024
7,Nicholas Pooran,14,14,6,499,75,62.38,280,178.21,0,3,35,36,2024
8,Sunil Narine,15,14,0,488,109,34.86,270,180.74,1,3,50,33,2024
9,Abhishek Sharma,16,16,1,484,75,32.27,237,204.21,0,3,36,42,2024
10,Heinrich Klaasen,16,15,3,479,80,39.92,280,171.07,0,4,19,38,2024
11,Rishabh Pant,13,13,2,446,88,40.55,287,155.4,0,3,36,25,2024
12,Faf Du Plessis,15,15,0,438,64,29.2,271,161.62,0,4,47,21,2024
13,Phil Salt,12,12,1,435,89,39.55,239,182.0,0,4,50,24,2024
14,Yashasvi Jaiswal,16,15,1,435,104,31.07,279,155.91,1,1,54,16,2024
15,Shubman Gill,12,12,1,426,104,38.73,289,147.4,1,2,37,15,2024
16,Rohit Sharma,14,14,1,417,105,32.08,278,150.0,1,1,45,23,2024
17,Tilak Varma,13,13,3,416,65,41.6,278,149.64,0,3,35,19,2024
18,Shivam Dube,14,14,3,396,66,36.0,244,162.29,0,3,28,28,2024
19,Rajat Patidar,15,13,0,395,55,30.38,223,177.13,0,5,21,33,2024
20,Marcus Stoinis,14,14,2,388,124,32.33,263,147.52,1,2,39,16,2024
21,Tristan Stubbs,14,13,6,378,71,54.0,198,190.9,0,3,24,26,2024
22,Venkatesh Iyer,15,13,5,370,70,46.25,233,158.79,0,4,35,19,2024
23,Jos Buttler,11,11,2,359,107,39.89,255,140.78,2,0,36,12,2024
24,Shashank Singh,14,14,6,354,68,44.25,215,164.65,0,2,28,21,2024
25,Shreyas Iyer,15,14,5,351,58,39.0,239,146.86,0,2,34,14,2024
26,Suryakumar Yadav,11,11,1,345,102,34.5,206,167.47,1,3,36,18,2024
27,Prabhsimran Singh,14,14,0,334,71,23.86,213,156.8,0,2,34,20,2024
28,Jake Fraser - McGurk,9,9,0,330,84,36.67,141,234.04,0,4,32,28,2024
29,Abishek Porel,14,12,2,327,65,32.7,205,159.51,0,2,36,13,2024
30,Dinesh Karthik,15,13,4,326,83,36.22,174,187.35,0,2,27,22,2024
31,Ishan Kishan,14,14,0,320,69,22.86,215,148.83,0,1,35,16,2024
32,Daryl Mitchell,13,13,2,318,63,28.91,223,142.6,0,2,27,10,2024
33,Nitish Kumar Reddy,13,11,2,303,76,33.67,212,142.92,0,2,15,21,2024
34,Jonny Bairstow,11,11,1,298,108,29.8,195,152.82,1,0,33,14,2024
35,Sam Curran,13,12,2,270,63,27.0,219,123.28,0,2,24,6,2024
36,Ravindra Jadeja,14,11,5,267,57,44.5,187,142.78,0,1,22,8,2024
37,Cameron Green,13,12,4,255,46,31.88,178,143.25,0,0,22,10,2024
38,Quinton De Kock,11,11,0,250,81,22.73,186,134.4,0,3,29,9,2024
39,Ajinkya Rahane,13,12,0,242,45,20.17,196,123.46,0,0,23,7,2024
40,Tim David,13,11,3,241,45,30.13,152,158.55,0,0,14,15,2024
41,Ayush Badoni,14,12,4,235,55,29.38,171,137.42,0,2,22,5,2024
42,Axar Patel,14,12,4,235,66,29.38,179,131.28,0,2,19,10,2024
43,Will Jacks,8,8,1,230,100,32.86,131,175.57,1,1,16,18,2024
44,Andre Russell,15,9,2,222,64,31.71,120,185.0,0,1,20,16,2024
45,Rachin Ravindra,10,10,0,222,61,22.2,138,160.86,0,1,22,12,2024
46,Aiden Markram,11,11,2,220,50,24.44,177,124.29,0,1,18,4,2024
47,Hardik Pandya,14,13,1,216,46,18.0,151,143.04,0,0,17,11,2024
48,Shahbaz Ahmed,16,12,3,215,59,23.89,166,129.51,0,1,7,13,2024
49,Rilee Rossouw,8,8,0,211,61,26.38,116,181.89,0,1,25,11,2024
50,David Miller,9,9,3,210,55,35.0,139,151.07,0,1,20,8,2024
51,Prithvi Shaw,8,8,0,198,66,24.75,121,163.63,0,1,30,5,2024
52,Dhruv Jurel,15,11,3,195,56,24.38,141,138.29,0,2,18,7,2024
53,Ashutosh Sharma,11,9,2,189,61,27.0,113,167.25,0,1,10,15,2024
54,Rahul Tewatia,12,9,2,188,36,26.86,129,145.73,0,0,24,5,2024
55,Jitesh Sharma,14,12,1,187,32,17.0,142,131.69,0,0,9,12,2024
56,Shai Hope,9,9,1,183,41,22.88,122,150.0,0,0,12,12,2024
57,Abdul Samad,16,12,2,182,37,18.2,108,168.51,0,0,15,11,2024
58,Rinku Singh,15,11,2,168,26,18.67,113,148.67,0,0,13,8,2024
59,David Warner,8,8,0,168,52,21.0,125,134.4,0,1,17,10,2024
60,Rahul Tripathi,6,6,0,165,55,27.5,115,143.47,0,1,18,6,2024
