,Player,Mat,Inns,Ov,Wkts,Runs,Avg,Econ,SR,4w,5w,year
0,Harshal Patel,14,14,49.0,24,477,19.87,9.73,12.25,0,0,2024
1,Varun Chakaravarthy,15,14,50.0,21,402,19.14,8.04,14.28,0,0,2024
2,Jasprit Bumrah,13,13,51.5,20,336,16.8,6.48,15.55,0,1,2024
3,T Natarajan,14,14,51.2,19,465,24.47,9.05,16.21,1,0,2024
4,Harshit Rana,13,11,42.1,19,383,20.15,9.08,13.31,0,0,2024
5,Avesh Khan,16,15,54.5,19,526,27.68,9.59,17.31,0,0,2024
6,Arshdeep Singh,14,14,50.2,19,505,26.57,10.03,15.89,1,0,2024
7,Andre Russell,15,14,29.2,19,295,15.52,10.05,9.26,0,0,2024
8,Pat Cummins,16,16,61.0,18,566,31.44,9.27,20.33,0,0,2024
9,Yuzvendra Chahal,15,15,58.0,18,546,30.33,9.41,19.33,0,0,2024
10,Sunil Narine,15,14,55.0,17,368,21.64,6.69,19.41,0,0,2024
11,Tushar Deshpande,13,13,48.0,17,424,24.94,8.83,16.94,1,0,2024
12,Khaleel Ahmed,14,14,50.0,17,479,28.17,9.58,17.64,0,0,2024
13,Mukesh Kumar,10,10,35.3,17,368,21.64,10.36,12.52,0,0,2024
14,Mitchell Starc,14,13,41.5,17,444,26.11,10.61,14.76,1,0,2024
15,Trent Boult,16,15,53.2,16,443,27.68,8.3,20.0,0,0,2024
16,Kuldeep Yadav,11,11,43.0,16,374,23.37,8.69,16.12,1,0,2024
17,Sam Curran,13,13,41.0,16,416,26.0,10.14,15.37,0,0,2024
18,Yash Dayal,14,14,50.1,15,459,30.6,9.14,20.06,0,0,2024
19,Mohammed Siraj,14,14,54.0,15,496,33.06,9.18,21.6,0,0,2024
20,Mustafizur Rahman,9,9,34.2,14,318,22.71,9.26,14.71,1,0,2024
21,Naveen-Ul-Haq,10,10,36.3,14,372,26.57,10.19,15.64,0,0,2024
22,Matheesha Pathirana,6,6,22.0,13,169,13.0,7.68,10.15,1,0,2024
23,Sandeep Sharma,11,10,38.0,13,311,23.92,8.18,17.53,0,1,2024
24,Piyush Chawla,11,11,35.0,13,312,24.0,8.91,16.15,0,0,2024
25,Gerald Coetzee,10,10,33.3,13,341,26.23,10.17,15.46,1,0,2024
26,Mohit Sharma,12,11,39.0,13,425,32.69,10.89,18.0,0,0,2024
27,Axar Patel,14,14,44.0,11,337,30.63,7.65,24.0,0,0,2024
28,Kagiso Rabada,11,11,42.0,11,372,33.81,8.85,22.9,0,0,2024
29,Vaibhav Arora,10,10,30.0,11,276,25.09,9.2,16.36,0,0,2024
30,Bhuvneshwar Kumar,16,16,57.0,11,533,48.45,9.35,31.09,0,0,2024
31,Hardik Pandya,14,12,36.0,11,387,35.18,10.75,19.63,0,0,2024
32,Yash Thakur,10,10,35.3,11,402,36.54,11.32,19.36,0,1,2024
33,Rashid Khan,12,12,43.4,10,367,36.7,8.4,26.2,0,0,2024
34,Cameron Green,13,13,35.1,10,303,30.3,8.61,21.1,0,0,2024
35,Ravi Bishnoi,14,14,43.4,10,383,38.3,8.77,26.2,0,0,2024
36,Rahul Chahar,9,9,31.0,10,279,27.9,9.0,18.6,0,0,2024
37,Ishant Sharma,9,9,27.0,10,265,26.5,9.81,16.2,0,0,2024
38,Mohsin Khan,9,10,38.0,10,385,38.5,10.13,22.8,0,0,2024
39,Ravichandran Ashwin,15,14,55.0,9,467,51.88,8.49,36.66,0,0,2024
40,Lockie Ferguson,7,7,24.0,9,255,28.33,10.62,16.0,0,0,2024
41,Rasikh Salam,8,8,24.3,9,269,29.88,10.97,16.33,0,0,2024
42,Ravindra Jadeja,14,14,47.0,8,369,46.12,7.85,35.25,0,0,2024
43,Noor Ahmad,10,10,34.5,8,290,36.25,8.32,26.12,0,0,2024
44,Nuwan Thushara,7,7,26.0,8,257,32.12,9.88,19.5,0,0,2024
45,Umesh Yadav,7,7,21.0,8,210,26.25,10.0,15.75,0,0,2024
46,Jaydev Unadkat,11,11,31.1,8,319,39.87,10.23,23.37,0,0,2024
47,Mayank Markande,7,7,22.0,8,259,32.37,11.77,16.5,0,0,2024
48,Mayank Yadav,4,4,12.1,7,85,12.14,6.98,10.42,0,0,2024
49,Harpreet Brar,13,13,38.0,7,303,43.28,7.97,32.57,0,0,2024
50,Nandre Burger,6,5,17.0,7,145,20.71,8.52,14.57,0,0,2024
51,Sai Kishore,5,5,15.0,7,137,19.57,9.13,12.85,1,0,2024
52,Shahbaz Ahmed,16,15,27.3,7,270,38.57,9.81,23.57,0,0,2024
53,Karn Sharma,9,9,24.0,7,254,36.28,10.58,20.57,0,0,2024
54,Anrich Nortje,6,6,22.0,7,294,42.0,13.36,18.85,0,0,2024
55,Krunal Pandya,14,12,33.0,6,255,42.5,7.72,33.0,0,0,2024
56,Glenn Maxwell,10,6,16.0,6,129,21.5,8.06,16.0,0,0,2024
57,Swapnil Singh,7,7,15.0,6,133,22.16,8.86,15.0,0,0,2024
58,Kuldeep Sen,3,3,12.0,6,122,20.33,10.16,12.0,0,0,2024
59,Sandeep Warrier,5,5,11.0,6,119,19.83,10.81,11.0,0,0,2024
60,Deepak Chahar,8,8,23.3,5,202,40.4,8.59,28.2,0,0,2024
61,Shardul Thakur,9,9,31.4,5,309,61.8,9.75,38.0,0,0,2024
62,Simarjeet Singh,4,4,12.0,5,121,24.2,10.08,14.4,0,0,2024
63,Akash Madhwal,5,5,18.1,5,205,41.0,11.28,21.8,0,0,2024
64,Azmatullah Omarzai,7,7,21.0,4,186,46.5,8.85,31.5,0,0,2024
65,Marcus Stoinis,14,7,14.0,4,126,31.5,9.0,21.0,0,0,2024
66,Spencer Johnson,5,5,16.0,4,151,37.75,9.43,24.0,0,0,2024
67,Vyshak Vijaykumar,4,4,14.3,4,142,35.5,9.79,21.75,0,0,2024
68,Reece Topley,4,4,15.0,4,168,42.0,11.2,22.5,0,0,2024
69,Josh Little,1,1,4.0,4,45,11.25,11.25,6.0,1,0,2024
70,Liam Livingstone,7,4,12.0,3,84,28.0,7.0,24.0,0,0,2024
71,Tristan Stubbs,14,2,2.0,3,15,5.0,7.5,4.0,0,0,2024
72,Darshan Nalkande,3,3,4.5,3,45,15.0,9.31,9.66,0,0,2024
73,Shreyas Gopal,3,3,7.0,3,67,22.33,9.57,14.0,0,0,2024
74,Nitish Kumar Reddy,13,7,13.1,3,153,51.0,11.62,26.33,0,0,2024
75,Keshav Maharaj,2,2,6.0,2,39,19.5,6.5,18.0,0,0,2024
76,Mitchell Santner,3,3,9.0,2,64,32.0,7.11,27.0,0,0,2024
77,Maheesh Theekshana,5,5,20.0,2,144,72.0,7.2,60.0,0,0,2024
78,Abhishek Sharma,16,4,7.0,2,51,25.5,7.28,21.0,0,0,2024
79,Mohammad Nabi,7,6,12.2,2,109,54.5,8.83,37.0,0,0,2024
80,Moeen Ali,8,4,8.0,2,71,35.5,8.87,24.0,0,0,2024
81,Vidwath Kaverappa,1,1,4.0,2,36,18.0,9.0,12.0,0,0,2024
82,Will Jacks,8,5,9.0,2,100,50.0,11.11,27.0,0,0,2024
83,Anshul Kamboj,3,3,10.0,2,114,57.0,11.4,30.0,0,0,2024
84,Shashank Singh,14,1,1.0,1,5,5.0,5.0,6.0,0,0,2024
85,Nathan Ellis,1,1,4.0,1,24,24.0,6.0,24.0,0,0,2024
86,M Siddharth,3,3,9.0,1,71,71.0,7.88,54.0,0,0,2024
87,Vijayakanth Viyaskanth,3,3,10.0,1,86,86.0,8.6,60.0,0,0,2024
