,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s,year,Seasons
0,AB de Villiers,169,157,36,4697,90,37.075384615384614,3048,147.28538461538463,2,37,374,239,2021,13
1,Aakash Chopra,7,6,0,53,24,9.7,71,69.325,0,0,7,0,2009,2
2,Aaron Finch,92,90,7,2091,88,22.634545454545453,1631,119.69272727272728,0,15,214,78,2022,11
3,Abdul Basith,1,1,1,1,1,0.0,1,100.0,0,0,0,0,2023,1
4,Abdul Samad,50,40,10,577,4,19.396,395,131.204,0,0,37,36,2024,5
5,Abdur Razzak,1,1,1,0,0,0.0,2,0.0,0,0,0,0,2008,1
6,Abhijeet Tomar,1,1,0,4,4,4.0,8,50.0,0,0,1,0,2022,1
7,Abhimanyu Mithun,14,8,3,34,5,5.333333333333333,26,120.0,0,0,4,1,2013,3
8,Abhinav Manohar,19,15,1,231,8,13.833333333333334,174,112.53000000000002,0,0,21,10,2024,3
9,Abhinav Mukund,3,2,0,19,19,9.5,22,45.235,0,0,1,0,2013,2
10,Abhishek Jhunjhunwala,21,16,3,217,53,12.443333333333333,210,86.02999999999999,0,1,19,5,2012,3
11,Abhishek Nayar,60,50,12,672,45,17.89,577,107.81714285714285,0,0,55,20,2014,7
12,Abhishek Raut,22,16,7,194,36,22.5,167,115.98666666666666,0,0,13,7,2011,3
13,Abhishek Sharma,63,61,7,1377,75,25.897142857142857,887,147.08714285714288,0,7,128,73,2024,7
14,Abishek Porel,18,16,2,360,65,20.475,236,132.98,0,2,37,15,2024,2
15,Abu Nechim,7,4,3,14,5,5.0,6,300.0,0,0,3,0,2015,2
16,Adam Gilchrist,80,80,4,2069,85,28.12833333333333,1495,137.34833333333333,2,11,239,92,2013,6
17,Adam Milne,8,6,2,23,5,5.75,29,76.22,0,0,0,1,2021,2
18,Adam Voges,9,7,3,181,45,45.25,143,126.57,0,0,15,3,2010,1
19,Adam Zampa,17,5,0,15,7,2.776666666666667,24,44.64000000000001,0,0,1,0,2023,3
20,Adil Rashid,2,2,0,22,18,11.0,16,137.5,0,0,2,1,2023,1
21,Aditya Dole,3,2,0,34,30,17.0,22,154.54,0,0,3,1,2010,1
22,Aditya Tare,35,28,4,339,8,11.641666666666666,273,104.63499999999999,0,1,40,11,2017,6
23,Adrian Barath,3,3,1,42,33,21.0,42,100.0,0,0,5,1,2010,1
24,Aiden Blizzard,6,6,0,120,51,20.0,87,137.93,0,1,21,2,2011,1
25,Aiden Markram,44,42,9,995,68,30.955000000000002,767,127.97500000000001,0,5,73,35,2024,4
