,Player,Mat,Inns,NO,Runs,Avg,BF,SR,100,50,4s,6s,Seasons
0,AB de Villiers,80,77,17,2592,42.34,1629,156.15,1,25,195,148,6
9,Aiden Markram,20,18,5,527,38.42,393,130.86,0,3,37,23,2
55,Chris Lynn,39,39,3,1265,37.41,887,140.9,0,10,126,63,5
69,David Warner,79,79,13,3356,49.92,2368,138.33,2,32,327,113,6
76,Devon Conway,7,7,1,252,42.0,173,145.66,0,3,22,12,1
107,Hashim Amla,16,16,3,577,43.08,407,138.88,2,3,60,21,2
135,Jonny Bairstow,39,39,3,1291,37.83,905,142.59,1,9,133,55,4
136,Jos Buttler,82,81,10,2831,38.67,1891,149.39,5,15,277,135,7
141,KL Rahul,84,82,16,3561,53.78,2549,140.63,4,31,303,156,6
230,Quinton De Kock,15,15,1,508,36.29,341,148.97,1,3,47,23,1
238,Rajat Patidar,12,11,1,404,36.62,280,133.63,1,2,30,21,2
245,Ravindra Jadeja,99,77,42,1119,36.46,842,131.94,0,2,84,41,7
305,Tilak Varma,14,14,3,397,36.09,303,131.02,0,2,29,16,1
326,Virat Kohli,100,100,13,3487,41.03,2618,130.23,5,25,302,108,7
