,Player,Batting_Runs_Score,Batting_Avg_Score,Batting_SR_Score,Batting_Landmarks_Score,Batting_total_boundaries_Score,Bowling_Wkts_Score,Bowling_Avg_Score,Bowling_SR_Score,Bowling_Landmarks_Score,Bowling_Econ_Score,Batting_Total_rating,Bowling_Total_rating,All_rounder_rating
8,Andre Russell,4,4,5,2,5,3,4,5,3,1,20,16,18
129,Nitish Rana,5,3,4,3,5,1,5,5,1,3,20,15,17.5
33,Chris Gayle,4,4,4,3,5,1,2,2,1,5,20,11,15.5
55,Glenn Maxwell,4,3,5,2,5,1,2,3,1,4,19,11,15
147,Rashid Khan,1,2,5,1,1,5,4,4,1,5,10,19,14.5
92,Kieron Pollard,4,3,5,2,5,1,2,3,1,3,19,10,14.5
35,Chris Morris,2,3,5,1,2,3,3,4,2,3,13,15,14
59,Hardik Pandya,4,3,4,2,5,2,2,3,1,2,18,10,14
164,Shane Watson,4,3,4,2,5,2,1,3,1,2,18,9,13.5
94,Krunal Pandya,3,3,4,1,4,3,1,2,1,5,15,12,13.5
150,Ravindra Jadeja,3,5,4,1,3,3,1,2,1,4,16,11,13.5
176,Sunil Narine,2,2,5,1,4,4,1,2,1,5,14,13,13.5
200,Yuzvendra Chahal,1,1,1,1,1,5,4,4,4,4,5,21,13
113,Moeen Ali,2,3,4,1,3,1,3,3,1,5,13,13,13
76,Jasprit Bumrah,1,1,1,1,1,5,4,4,3,5,5,21,13
85,Kagiso Rabada,1,1,1,1,1,4,4,5,5,3,5,21,13
143,Rahul Tewatia,2,3,4,1,2,2,3,3,1,5,12,14,13
177,Suresh Raina,4,3,4,3,5,1,1,1,1,2,19,6,12.5
50,Dwayne Bravo,1,3,5,1,1,4,3,4,1,2,11,14,12.5
198,Yusuf Pathan,2,4,4,1,2,1,3,3,1,4,13,12,12.5
110,Mitchell Marsh,1,2,2,1,1,1,5,5,1,5,7,17,12
21,Axar Patel,2,3,4,1,2,3,1,2,1,5,12,12,12
133,Pat Cummins,1,3,5,1,1,2,3,4,1,2,11,12,11.5
196,Wanindu Hasaranga,1,1,1,1,1,2,5,5,2,4,5,18,11.5
45,Deepak Hooda,3,4,4,2,3,1,1,3,1,1,16,7,11.5
1,Abhishek Sharma,2,3,4,1,2,1,3,4,1,2,12,11,11.5
72,Jagadeesha Suchith,1,1,1,1,1,1,5,5,1,5,5,17,11
118,Mohsin Khan,1,1,1,1,1,1,5,5,1,5,5,17,11
107,Marcus Stoinis,3,3,4,1,3,2,1,3,1,1,14,8,11
101,Liam Livingstone,2,3,5,1,2,1,2,3,1,2,13,9,11
7,Amit Mishra,1,1,1,1,1,3,4,4,1,4,5,16,10.5
82,Jofra Archer,1,1,1,1,1,2,4,4,1,5,5,16,10.5
28,Bhuvneshwar Kumar,1,1,1,1,1,4,2,3,2,5,5,16,10.5
149,Ravichandran Ashwin,1,2,4,1,2,3,1,2,1,4,10,11,10.5
155,Sam Curran,1,3,5,1,1,2,2,4,1,1,11,10,10.5
126,Nathan Coulter-Nile,1,1,1,1,1,2,3,4,1,5,5,15,10
156,Samuel Badree,1,1,1,1,1,1,4,5,1,4,5,15,10
142,Rahul Chahar,1,1,1,1,1,3,3,4,1,4,5,15,10
51,Dwayne Smith,2,3,5,1,2,1,1,3,1,1,13,7,10
14,Anrich Nortje,1,1,1,1,1,2,4,5,1,3,5,15,10
104,Maheesh Theekshana,1,1,1,1,1,1,4,4,1,5,5,15,10
197,Washington Sundar,1,2,3,1,1,2,2,3,1,4,8,12,10
157,Sandeep Lamichhane,1,1,1,1,1,1,4,5,1,4,5,15,10
99,Lalit Yadav,1,3,3,1,1,1,2,3,1,4,9,11,10
96,Kumar Kartikeya Singh,1,1,1,1,1,1,4,5,1,4,5,15,10
17,Ashish Nehra,1,1,1,1,1,1,4,5,1,3,5,14,9.5
68,Ish Sodhi,1,1,1,1,1,1,4,4,1,4,5,14,9.5
4,Aiden Markram,2,5,4,1,2,1,1,1,1,1,14,5,9.5
27,Ben Stokes,2,3,3,1,3,2,1,2,1,1,12,7,9.5
148,Ravi Bishnoi,1,1,1,1,1,2,3,3,1,5,5,14,9.5
