,Player,Mat,Inns,NO,Runs,Avg,BF,SR,100,50,4s,6s,Seasons,total_boundaries,Landmarks,Runs_Score,Batting_Runs_Score,Batting_Avg_Score,Batting_SR_Score,Batting_Landmarks_Score,Batting_total_boundaries_Score,Batting_Total_rating
0,AB de Villiers,80,77,17,2592,42.34,1629,156.15,1,25,195,148,6,343,26,5,5,5,5,5,5,25
141,KL Rahul,84,82,16,3561,53.78,2549,140.63,4,31,303,156,6,459,35,5,5,5,5,5,5,25
326,Virat Kohli,100,100,13,3487,41.03,2618,130.23,5,25,302,108,7,410,30,5,5,5,4,5,5,24
69,David Warner,79,79,13,3356,49.92,2368,138.33,2,32,327,113,6,440,34,5,5,5,4,5,5,24
280,Shikhar Dhawan,110,110,15,3663,38.56,2825,129.82,2,26,404,82,7,486,28,5,5,5,4,5,5,24
136,Jos Buttler,82,81,10,2831,38.67,1891,149.39,5,15,277,135,7,412,20,5,5,5,5,4,5,24
264,Sanju Samson,100,100,10,2777,31.07,1984,140.38,3,13,219,128,7,347,16,5,5,4,5,4,5,23
249,Rishabh Pant,98,97,15,2838,34,1918,146.63,1,15,260,129,7,389,16,5,5,4,5,4,5,23
173,Manish Pandey,83,77,17,2077,35.05,1649,124.52,0,16,166,62,7,228,16,5,5,5,4,4,5,23
145,Kane Williamson,74,73,16,2070,35.34,1640,122.28,0,18,181,63,7,244,18,5,5,5,4,4,5,23
299,Suryakumar Yadav,93,84,11,2323,31.23,1699,134.98,0,16,256,71,7,327,16,5,5,4,4,4,5,22
80,Dinesh Karthik,107,102,33,2169,33.52,1519,142.85,0,11,208,77,7,285,11,5,5,4,5,3,5,22
253,Rohit Sharma,99,98,8,2494,28.15,1953,127.39,0,16,245,93,7,338,16,5,5,3,4,4,5,21
90,Faf du Plessis,55,54,6,1854,32.79,1396,128.22,0,16,173,67,6,240,16,4,4,4,4,4,5,21
228,Prithvi Shaw,63,63,0,1588,25.41,1077,147.09,0,12,192,55,5,247,12,4,4,3,5,3,5,20
