,Player,Mat,Inns,Ov,Runs,Wkts,Avg,Econ,SR,4w,5w,Seasons,Landmarks,Bowling_Wkts_Score,Bowling_Avg_Score,Bowling_SR_Score,Bowling_Econ_Score,Bowling_Landmarks_Score,Bowling_Total_rating
225,Yuzvendra Chahal,101,101,369.0,2789,131,22.02,7.54,17.6,3,1,7,5,5,4,4,4,4,21
93,Kagiso Rabada,63,63,237.0,1966,99,22.47,8.31,16.13,6,0,5,6,4,4,5,3,5,21
82,Jasprit Bumrah,103,103,394.2,2823,134,21.77,7.15,18.21,2,1,7,4,5,4,4,5,3,21
165,Rashid Khan,92,92,365.5,2333,112,20.87,6.38,19.61,1,0,6,1,5,4,4,5,1,19
220,Wanindu Hasaranga,16,16,57.0,430,26,16.53,7.54,13.15,1,1,1,3,2,5,5,4,2,18
132,Mohsin Khan,9,9,33.0,197,14,14.07,5.96,14.14,1,0,1,1,1,5,5,5,1,17
124,Mitchell Marsh,11,7,21.0,147,8,18.38,6.75,15.75,0,0,2,0,1,5,5,5,1,17
77,Jagadeesha Suchith,6,6,22.0,168,9,17.0,7.38,13.71,0,0,2,0,1,5,5,5,1,17
147,Oshane Thomas,4,4,10.0,79,5,15.8,7.9,12.0,0,0,1,0,1,5,5,4,1,16
88,Jofra Archer,35,35,137.0,981,46,22.12,7.22,18.56,0,0,3,0,2,4,4,5,1,16
30,Bhuvneshwar Kumar,87,87,331.1,2491,92,33.0,7.46,26.24,1,1,7,3,4,2,3,5,2,16
8,Amit Mishra,56,56,186.0,1402,55,24.91,7.53,19.81,2,0,6,2,3,4,4,4,1,16
9,Andre Russell,76,67,169.1,1574,73,22.56,9.39,14.47,2,1,6,4,3,4,5,1,3,16
38,Chris Morris,54,54,194.0,1583,67,26.5,8.34,18.78,3,0,6,3,3,3,4,3,2,15
177,Sandeep Lamichhane,9,9,35.0,292,13,21.32,7.98,15.82,0,0,2,0,1,4,5,4,1,15
160,Rahul Chahar,55,54,196.4,1477,57,26.34,7.62,20.75,1,0,5,1,3,3,4,4,1,15
174,Sai Kishore,5,5,16.0,121,6,20.16,7.56,16.0,0,0,1,0,1,4,5,4,1,15
15,Anrich Nortje,30,30,113.2,916,43,20.99,8.09,15.56,0,0,3,0,2,4,5,3,1,15
140,Nathan Coulter-Nile,24,24,89.0,675,30,28.14,7.48,22.42,1,0,4,1,2,3,4,5,1,15
116,Maheesh Theekshana,9,9,35.0,261,12,21.75,7.45,17.5,1,0,1,1,1,4,4,5,1,15
176,Samuel Badree,7,7,25.0,188,9,20.88,7.52,16.66,1,0,1,1,1,4,5,4,1,15
