,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
0,Virat Kohli,16,16,4,973,113.0,,640,152.03,4,7,83,38
1,David Warner,17,17,3,848,93.0,,560,151.42,0,9,88,31
2,AB de Villiers,16,16,3,687,129.0,,407,168.79,1,6,57,37
3,Gautam Gambhir,15,15,2,501,90.0,,411,121.89,0,5,54,6
4,Shikhar Dhawan,17,17,4,501,82.0,,429,116.78,0,4,51,8
5,Rohit Sharma,14,14,3,489,85.0,,368,132.88,0,5,49,16
6,Ajinkya Rahane,14,14,3,480,74.0,,379,126.64,0,6,54,9
7,Murali Vijay,14,14,1,453,89.0,,364,124.45,0,5,50,10
8,Quinton de Kock,13,13,1,445,108.0,,327,136.08,1,3,52,13
9,Suresh Raina,15,15,1,399,75.0,,312,127.88,0,3,39,10
10,KL Rahul,14,12,3,397,68.0,,271,146.49,0,4,37,16
11,Robin Uthappa,15,15,0,394,72.0,,289,136.33,0,3,45,8
12,Aaron Finch,13,12,2,393,74.0,,299,131.43,0,5,45,11
13,Yusuf Pathan,15,13,8,361,63.0,,248,145.56,0,3,33,13
14,Karun Nair,14,12,2,357,83.0,,297,120.2,0,3,40,6
15,Brendon McCullum,16,16,0,354,60.0,,262,135.11,0,1,38,16
16,Dinesh Karthik,16,15,2,335,53.0,,266,125.93,0,3,38,3
17,Ambati Rayudu,13,12,1,334,65.0,,278,120.14,0,2,28,12
18,Dwayne Smith,12,12,1,324,73.0,,221,146.6,0,3,35,16
19,Sanju Samson,14,14,3,291,60.0,,259,112.35,0,1,20,8
20,MS Dhoni,14,12,5,284,64.0,,210,135.23,0,1,18,14
21,Steve Smith,8,7,1,270,101.0,,176,153.4,1,0,27,8
22,Wriddhiman Saha,12,12,1,270,56.0,,212,127.35,0,2,29,1
23,Jos Buttler,14,14,3,255,41.0,,184,138.58,0,0,23,11
24,Manish Pandey,12,11,3,248,52.0,,183,135.51,0,2,17,9
25,Krunal Pandya,12,9,3,237,86.0,,124,191.12,0,1,22,13
26,Yuvraj Singh,10,10,1,236,44.0,,179,131.84,0,0,22,13
27,Chris Gayle,10,10,0,227,76.0,,150,151.33,0,2,17,21
28,Kieron Pollard,13,12,4,207,51.0,,144,143.75,0,1,11,16
29,Faf du Plessis,6,6,0,206,69.0,,162,127.16,0,2,17,9
30,Rishabh Pant,10,10,2,198,69.0,,152,130.26,0,1,19,6
31,Chris Morris,12,7,4,195,82.0,,109,178.89,0,1,15,12
32,JP Duminy,10,8,3,191,49.0,,156,122.43,0,0,13,3
33,Ravindra Jadeja,15,15,6,191,36.0,,178,107.3,0,0,14,4
34,Andre Russell,12,8,1,188,39.0,,114,164.91,0,0,10,15
35,Suryakumar Yadav,15,11,4,182,60.0,,143,127.27,0,1,18,5
36,Moises Henriques,17,15,3,182,31.0,,158,115.18,0,0,15,6
37,Glenn Maxwell,11,11,2,179,68.0,,124,144.35,0,2,14,8
38,Shane Watson,16,15,2,179,36.0,,134,133.58,0,0,14,12
39,Parthiv Patel,10,10,0,177,81.0,,152,116.44,0,1,23,4
40,Saurabh Tiwary,10,7,0,170,57.0,,141,120.56,0,2,17,4
41,Manan Vohra,7,7,0,161,51.0,,131,122.9,0,1,19,3
42,David Miller,14,13,3,161,31.0,,131,122.9,0,0,11,4
43,Shaun Marsh,6,6,1,159,56.0,,134,118.65,0,1,13,4
44,Hashim Amla,6,6,0,157,96.0,,119,131.93,0,1,20,4
45,Thisara Perera,12,10,3,150,34.0,,93,161.29,0,0,7,11
46,Marcus Stoinis,7,5,1,146,52.0,,108,135.18,0,1,13,4
47,Deepak Hooda,17,15,1,144,34.0,,121,119.0,0,0,9,5
48,Naman Ojha,17,13,3,136,37.0,,138,98.55,0,0,7,5
