,Player,POS,Mat,Inns,NO,Runs,Avg,BF,SR,100,50,4s,6s,size
0,AB de Villiers,97,80,77,17,2592,0.0,1629,936.92,1,25,195,148,1
1,Aaron Finch,188,53,51,4,1180,5.733333333333333,881,683.72,0,9,114,49,1
2,Abdul Samad,255,25,20,4,226,2.0,159,355.48,0,0,12,14,1
3,Abhijeet Tomar,149,1,1,0,4,2.0,8,50.0,0,0,1,0,1
4,Abhinav Manohar,70,8,7,1,108,3.0,75,144.0,0,0,14,3,1
5,Abhishek Sharma,296,36,34,6,667,7.6075,493,681.46,0,2,64,25,1
6,Adam Milne,214,8,6,2,23,0.0,29,152.44,0,0,0,1,1
7,Adam Zampa,255,11,2,0,5,0.0,8,71.42,0,0,1,0,1
8,Aditya Tare,199,6,5,0,26,0.0,38,131.59,0,0,4,0,1
9,Aiden Markram,63,20,18,5,527,47.63,393,261.73,0,3,37,23,1
10,Ajinkya Rahane,286,77,73,6,1879,6.333333333333333,1543,810.5,1,11,200,38,1
11,Akila Dananjaya,117,1,1,1,4,0.0,5,80.0,0,0,0,0,1
12,Akshdeep Nath,409,14,10,0,90,0.0,98,250.31,0,0,7,2,1
13,Albie Morkel,97,2,1,0,16,0.0,9,177.77,0,0,0,2,1
14,Alex Carey,78,3,3,1,32,0.0,29,110.34,0,0,0,1,1
15,Alex Hales,42,6,6,0,148,0.0,118,125.42,0,0,13,6,1
16,Alzarri Joseph,232,12,5,4,20,1.0,20,186.8,0,0,2,0,1
17,Aman Khan,141,1,1,0,5,5.0,3,166.66,0,0,1,0,1
18,Ambati Rayudu,184,92,85,14,2199,24.91,1737,880.4,1,11,179,100,1
19,Amit Mishra,408,49,13,8,75,0.0,92,260.3,0,0,4,2,1
20,Andre Russell,171,76,65,13,1649,37.22,927,1025.92,0,7,99,153,1
21,Andrew Tye,401,27,13,4,91,0.0,76,360.87,0,0,6,5,1
22,Angelo Mathews,79,3,2,0,32,0.0,27,118.51,0,0,2,1,1
23,Aniket Choudhary,86,5,3,2,25,0.0,20,125.0,0,0,1,1,1
24,Ankit Bawne,103,1,1,1,12,0.0,12,100.0,0,0,1,0,1
25,Ankit Rajpoot,328,19,6,1,24,0.0,35,208.25,0,0,2,1,1
26,Ankit Sharma,207,4,2,1,28,0.0,18,266.65999999999997,0,0,2,1,1
27,Ankit Soni,116,7,3,1,7,0.0,9,77.77,0,0,0,1,1
28,Anmolpreet Singh,221,3,3,0,29,6.5,27,214.28,0,0,3,1,1
29,Anrich Nortje,271,22,6,5,8,0.0,12,133.32,0,0,0,0,1
30,Anuj Rawat,211,10,9,0,129,5.376666666666666,119,109.32,0,1,10,7,1
31,Anureet Singh,216,4,2,1,18,0.0,16,200.0,0,0,2,0,1
32,Arshdeep Singh,377,34,9,5,23,3.5,35,139.07,0,0,3,0,1
33,Ashish Nehra,130,8,2,2,1,0.0,1,100.0,0,0,0,0,1
34,Ashish Reddy,72,4,3,1,47,0.0,29,162.06,0,0,2,4,1
35,Ashok Dinda,113,3,1,0,7,0.0,7,100.0,0,0,1,0,1
36,Ashton Turner,122,4,4,1,3,0.0,10,30.0,0,0,0,0,1
37,Avesh Khan,349,30,6,5,31,22.0,19,469.22,0,0,2,3,1
38,Axar Patel,392,91,68,24,867,7.583333333333333,647,901.46,0,0,48,45,1
39,Ayush Badoni,59,13,11,3,161,20.13,130,123.84,0,1,11,7,1
40,B Indrajith,115,3,3,0,21,1.0,30,70.0,0,0,2,0,1
41,Barinder Sran,363,22,9,8,10,0.0,14,242.85,0,0,0,0,1
42,Basil Thampi,330,19,8,7,32,0.0,35,250.0,0,0,1,1,1
43,Ben Cutting,277,20,16,6,230,0.0,135,658.71,0,0,15,18,1
44,Ben Laughlin,129,7,2,1,1,0.0,4,25.0,0,0,0,0,1
45,Ben Stokes,276,43,42,6,920,0.0,684,531.45,2,2,79,32,1
46,Bhanuka Rajapaksa,48,9,9,0,206,3.27,129,159.68,0,0,16,13,1
47,Bhuvneshwar Kumar,714,87,33,16,130,1.6,124,609.28,0,0,14,1,1
48,Billy Stanlake,116,4,1,1,5,0.0,2,250.0,0,0,1,0,1
49,Bipul Sharma,152,14,7,4,82,0.0,49,333.15999999999997,0,0,3,6,1
50,Brendon McCullum,83,33,33,0,800,0.0,567,426.42,0,3,83,40,1
51,Carlos Brathwaite,323,16,14,1,181,0.0,111,564.67,0,0,10,16,1
52,Chetan Sakariya,100,14,6,1,16,0.0,25,64.0,0,0,2,0,1
53,Chris Gayle,158,60,60,4,1766,0.0,1248,836.11,1,13,143,127,1
54,Chris Jordan,554,27,11,3,75,3.6666666666666665,65,458.42,0,0,3,3,1
55,Chris Lynn,214,39,39,3,1265,0.0,887,704.49,0,10,126,63,1
56,Chris Morris,377,54,38,14,528,0.0,336,904.74,0,2,38,30,1
57,Chris Woakes,273,21,12,6,78,0.0,77,323.70000000000005,0,0,7,2,1
58,Colin Ingram,38,12,12,2,184,0.0,154,119.48,0,0,20,5,1
59,Colin Munro,208,13,12,0,177,0.0,141,373.65,0,0,19,8,1
60,Colin de Grandhomme,170,25,21,5,303,0.0,225,386.77,0,0,18,18,1
61,Corey Anderson,144,14,14,4,159,0.0,145,192.70999999999998,0,0,8,10,1
62,D'Arcy Short,52,7,7,0,115,0.0,99,116.16,0,0,11,5,1
63,Dale Steyn,248,4,2,1,2,0.0,4,100.0,0,0,0,0,1
64,Dan Christian,254,26,19,6,119,0.0,106,298.33,0,0,6,6,1
65,Daniel Sams,345,16,13,4,44,5.43,44,205.55,0,0,1,3,1
66,Darren Bravo,119,1,1,1,6,0.0,5,120.0,0,0,1,0,1
67,Daryl Mitchell,101,2,2,0,33,3.3,44,75.0,0,0,1,0,1
68,David Miller,256,57,54,19,1136,13.741999999999999,889,724.59,0,4,80,43,1
69,David Warner,52,79,79,13,3356,48.0,2368,829.98,2,32,327,113,1
70,David Wiese,117,1,1,1,5,0.0,4,125.0,0,0,0,0,1
71,David Willey,120,4,2,0,18,9.0,30,60.0,0,0,3,0,1
72,Dawid Malan,89,1,1,0,26,0.0,26,100.0,0,0,1,1,1
73,Deepak Chahar,530,61,12,5,79,0.0,57,641.84,0,0,2,6,1
74,Deepak Hooda,340,81,66,14,1085,16.105,841,886.97,0,6,71,45,1
75,Devdutt Padikkal,38,46,46,1,1260,3.16,1013,372.97,1,7,135,36,1
76,Devon Conway,38,7,7,1,252,14.0,173,145.66,0,3,22,12,1
77,Dewald Brevis,58,7,7,0,161,7.666666666666667,113,142.47,0,0,14,11,1
78,Dhawal Kulkarni,576,39,10,6,38,0.0,29,605.7,0,0,3,0,1
79,Dhruv Shorey,223,2,2,0,13,0.0,17,151.38,0,0,0,1,1
80,Dinesh Karthik,175,107,102,33,2169,18.333333333333332,1519,999.9300000000001,0,11,208,77,1
81,Dushmantha Chameera,93,12,8,4,43,10.75,28,153.57,0,0,3,3,1
82,Dwaine Pretorius,92,6,5,1,44,11.0,28,157.14,0,0,3,3,1
83,Dwayne Bravo,451,70,43,21,397,5.75,287,870.48,0,1,29,19,1
84,Dwayne Smith,56,24,24,2,563,0.0,377,299.79999999999995,0,5,67,24,1
85,Eklavya Dwivedi,90,4,2,0,24,0.0,14,171.42,0,0,2,2,1
86,Eoin Morgan,179,42,40,9,739,0.0,608,456.06,0,2,54,36,1
87,Evin Lewis,207,27,26,2,654,24.33,477,523.41,0,4,62,36,1
88,Fabian Allen,252,5,4,2,14,4.0,19,164.28,0,0,1,0,1
89,Faf Du Plessis,7,16,16,1,468,15.6,367,127.52,0,3,49,13,1
90,Faf du Plessis,210,55,54,6,1854,0.0,1396,769.3299999999999,0,16,173,67,1
91,Farhaan Behardien,99,3,3,1,14,0.0,13,107.69,0,0,2,0,1
92,Fazalhaq Farooqi,158,3,1,1,2,0.0,8,25.0,0,0,0,0,1
93,Gautam Gambhir,65,37,36,6,1084,0.0,888,346.5,0,10,123,14,1
94,George Bailey,61,6,5,1,84,0.0,98,85.71,0,0,9,2,1
95,George Garton,130,5,3,2,2,0.0,4,50.0,0,0,0,0,1
96,Glenn Maxwell,191,78,74,13,1580,13.68,1063,873.44,0,9,135,79,1
97,Glenn Phillips,90,3,3,1,26,0.0,33,78.78,0,0,1,2,1
98,Gurkeerat Mann Singh,172,18,14,6,282,0.0,236,360.14,0,2,30,5,1
99,Hanuma Vihari,119,2,2,0,4,0.0,8,50.0,0,0,0,0,1
100,Harbhajan Singh,491,52,20,11,142,0.0,143,423.4,0,0,14,4,1
101,Hardik Pandya,235,98,92,32,1851,44.27,1268,974.47,0,7,137,102,1
102,Hardus Viljoen,124,6,3,1,3,0.0,7,42.85,0,0,0,0,1
103,Harpreet Brar,262,14,9,6,106,3.665,95,365.0,0,0,6,5,1
104,Harry Gurney,129,8,1,1,1,0.0,5,20.0,0,0,0,0,1
105,Harshal Patel,453,42,22,9,183,2.8666666666666667,144,507.82,0,0,13,10,1
106,Harshit Rana,154,2,2,1,2,2.0,2,100.0,0,0,0,0,1
107,Hashim Amla,51,16,16,3,577,0.0,407,277.76,2,3,60,21,1
108,Heinrich Klaasen,170,7,6,1,66,0.0,57,211.26999999999998,0,0,5,1,1
109,Hrithik Shokeen,95,5,3,1,43,21.5,48,89.58,0,0,5,0,1
110,Imran Tahir,478,25,4,3,20,0.0,21,301.42,0,0,3,0,1
111,Iqbal Abdulla,198,10,3,3,42,0.0,34,208.45,0,0,4,1,1
112,Irfan Pathan,231,5,4,0,13,0.0,16,151.26999999999998,0,0,0,0,1
113,Ish Sodhi,238,8,2,0,7,0.0,17,71.2,0,0,0,0,1
114,Ishan Kishan,231,75,70,6,1870,32.15,1413,887.09,0,12,166,85,1
115,Ishank Jaggi,78,2,2,1,33,0.0,39,84.61,0,0,3,0,1
116,Ishant Sharma,208,19,6,4,18,0.0,15,399.99,0,0,2,1,1
117,Isuru Udana,91,10,4,1,15,0.0,11,136.36,0,0,1,1,1
118,JP Duminy,115,16,12,6,227,0.0,196,212.43,0,0,16,4,1
119,Jagadeesan Narayan,97,2,2,1,40,6.666666666666667,37,108.1,0,0,3,1,1
120,Jagadeesha Suchith,375,8,4,1,22,0.2,29,298.33000000000004,0,0,2,1,1
121,James Faulkner,131,15,11,4,131,0.0,116,225.23000000000002,0,0,11,0,1
122,James Neesham,103,2,2,0,31,15.5,27,114.81,0,0,3,0,1
123,James Pattinson,92,10,2,1,15,0.0,13,115.38,0,0,2,0,1
124,Jason Holder,304,31,23,5,231,4.835,188,490.15999999999997,0,0,11,16,1
125,Jason Roy,160,13,13,2,329,0.0,255,399.11,0,2,39,9,1
126,Jasprit Bumrah,668,89,18,13,55,0.0,55,557.72,0,0,4,1,1
127,Javon Searles,111,4,2,1,8,0.0,6,133.33,0,0,0,1,1
128,Jayant Yadav,199,10,5,1,40,0.0,36,190.76,0,0,2,1,1
129,Jaydev Unadkat,610,56,22,11,161,19.67,125,572.3199999999999,0,0,13,6,1
130,Jhye Richardson,104,3,2,0,15,0.0,24,62.5,0,0,2,0,1
131,Jimmy Neesham,234,8,5,1,19,0.0,20,105.55,0,0,0,1,1
132,Jitesh Sharma,42,12,10,2,234,9.75,143,163.63,0,0,22,12,1
133,Joe Denly,133,1,1,0,0,0.0,1,0.0,0,0,0,0,1
134,Jofra Archer,213,35,23,10,195,0.0,124,418.28000000000003,0,0,11,14,1
135,Jonny Bairstow,94,39,39,3,1291,23.0,905,570.35,1,9,133,55,1
136,Jos Buttler,137,82,81,10,2831,9.588333333333333,1891,1045.74,5,15,277,135,1
137,Josh Hazlewood,119,12,5,5,18,0.0,26,69.23,0,0,1,0,1
138,Josh Philippe,62,5,5,1,78,0.0,77,101.29,0,0,9,1,1
139,K L Rahul,2,15,15,3,616,10.266,455,135.38,2,4,45,30,1
140,K.S Bharat,35,8,7,2,191,0.0,156,122.43,0,1,10,8,1
141,KC Cariappa,329,10,5,2,24,0.0,21,446.75,0,0,0,2,1
142,KL Rahul,20,69,67,13,2945,0.0,2094,708.4200000000001,2,27,258,126,1
143,Kagiso Rabada,425,63,26,10,186,2.4,177,621.8199999999999,0,0,16,6,1
144,Kamlesh Nagarkoti,224,11,7,3,22,0.0,33,70.96,0,0,1,0,1
