,Player,Mat_2016,Inns_2016,NO_2016,Runs_2016,HS_2016,Avg_2016,BF_2016,SR_2016,100_2016,50_2016,4s_2016,6s_2016,Mat_2017,Inns_2017,NO_2017,Runs_2017,HS_2017,Avg_2017,BF_2017,SR_2017,100_2017,50_2017,4s_2017,6s_2017,Mat_2018,Inns_2018,NO_2018,Runs_2018,HS_2018,Avg_2018,BF_2018,SR_2018,100_2018,50_2018,4s_2018,6s_2018,Mat_2019,Inns_2019,NO_2019,Runs_2019,HS_2019,Avg_2019,BF_2019,SR_2019,100_2019,50_2019,4s_2019,6s_2019,Mat_2020,Inns_2020,NO_2020,Runs_2020,HS_2020,Avg_2020,BF_2020,SR_2020,100_2020,50_2020,4s_2020,6s_2020,Mat_2021,Inns_2021,NO_2021,Runs_2021,HS_2021,Avg_2021,BF_2021,SR_2021,100_2021,50_2021,4s_2021,6s_2021,Mat_2022,Inns_2022,NO_2022,Runs_2022,HS_2022,Avg_2022,BF_2022,SR_2022,100_2022,50_2022,4s_2022,6s_2022
0,Virat Kohli,16.0,16.0,4.0,973.0,113,81.08,640.0,152.03,4.0,7.0,83.0,38.0,10.0,10.0,0.0,308.0,64,30.8,252.0,122.22,0.0,4.0,23.0,11.0,14.0,14.0,3.0,530.0,92*,48.18,381.0,139.1,0.0,4.0,52.0,18.0,14.0,14.0,0.0,464.0,100,33.14,328.0,141.46,1.0,2.0,46.0,13.0,15.0,15.0,4.0,466.0,90*,42.36,384.0,121.35,0.0,3.0,23.0,11.0,15.0,15.0,1.0,405.0,72*,28.92,339.0,119.46,0.0,3.0,43.0,9.0,16.0,16.0,1.0,341.0,73,22.73,294.0,115.98,0.0,2.0,32.0,8.0
1,David Warner,17.0,17.0,3.0,848.0,93*,60.57,560.0,151.42,0.0,9.0,88.0,31.0,14.0,14.0,3.0,641.0,126,58.27,452.0,141.81,1.0,4.0,63.0,26.0,,,,,,,,,,,,,12.0,12.0,2.0,692.0,100*,69.2,481.0,143.86,1.0,8.0,57.0,21.0,16.0,16.0,2.0,548.0,85*,39.14,407.0,134.64,0.0,4.0,52.0,14.0,8.0,8.0,0.0,195.0,57,24.37,181.0,107.73,0.0,2.0,15.0,6.0,12.0,12.0,3.0,432.0,92*,48,287.0,150.52,0.0,5.0,52.0,15.0
2,AB de Villiers,16.0,16.0,3.0,687.0,129*,52.84,407.0,168.79,1.0,6.0,57.0,37.0,9.0,9.0,1.0,216.0,89*,27.0,163.0,132.51,0.0,1.0,12.0,16.0,12.0,11.0,2.0,480.0,90*,53.33,275.0,174.54,0.0,6.0,39.0,30.0,13.0,13.0,3.0,442.0,82*,44.2,287.0,154.0,0.0,5.0,31.0,26.0,15.0,14.0,4.0,454.0,73*,45.4,286.0,158.74,0.0,5.0,33.0,23.0,15.0,14.0,4.0,313.0,76*,31.3,211.0,148.34,0.0,2.0,23.0,16.0,,,,,,,,,,,,
3,Gautam Gambhir,15.0,15.0,2.0,501.0,90*,38.53,411.0,121.89,0.0,5.0,54.0,6.0,16.0,16.0,4.0,498.0,76*,41.5,389.0,128.02,0.0,4.0,61.0,7.0,6.0,5.0,0.0,85.0,55,17.0,88.0,96.59,0.0,1.0,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Shikhar Dhawan,17.0,17.0,4.0,501.0,82*,38.53,429.0,116.78,0.0,4.0,51.0,8.0,14.0,14.0,1.0,479.0,77,36.84,376.0,127.39,0.0,3.0,53.0,9.0,16.0,16.0,3.0,497.0,92*,38.23,363.0,136.91,0.0,4.0,59.0,14.0,16.0,16.0,1.0,521.0,97*,34.73,384.0,135.67,0.0,5.0,64.0,11.0,17.0,17.0,3.0,618.0,106*,44.14,427.0,144.73,2.0,4.0,67.0,12.0,16.0,16.0,1.0,587.0,92,39.13,471.0,124.62,0.0,3.0,63.0,16.0,14.0,14.0,2.0,460.0,88*,38.33,375.0,122.66,0.0,3.0,47.0,12.0
5,Rohit Sharma,14.0,14.0,3.0,489.0,85*,44.45,368.0,132.88,0.0,5.0,49.0,16.0,17.0,16.0,2.0,333.0,67,23.78,273.0,121.97,0.0,3.0,31.0,9.0,14.0,14.0,2.0,286.0,94,23.83,215.0,133.02,0.0,2.0,25.0,12.0,15.0,15.0,1.0,405.0,67,28.92,315.0,128.57,0.0,2.0,52.0,10.0,12.0,12.0,0.0,332.0,80,27.66,260.0,127.69,0.0,3.0,27.0,19.0,13.0,13.0,0.0,381.0,63,29.3,299.0,127.42,0.0,1.0,33.0,14.0,14.0,14.0,0.0,268.0,48,19.14,223.0,120.17,0.0,0.0,28.0,13.0
6,Ajinkya Rahane,14.0,14.0,3.0,480.0,74,43.63,379.0,126.64,0.0,6.0,54.0,9.0,16.0,16.0,1.0,382.0,60,25.46,323.0,118.26,0.0,2.0,35.0,9.0,15.0,14.0,1.0,370.0,65*,28.46,313.0,118.21,0.0,1.0,39.0,5.0,14.0,13.0,1.0,393.0,105*,32.75,285.0,137.89,1.0,1.0,45.0,9.0,9.0,8.0,0.0,113.0,60,14.12,107.0,105.6,0.0,1.0,12.0,2.0,2.0,1.0,0.0,8.0,8,8.0,8.0,100.0,0.0,0.0,1.0,0.0,7.0,7.0,0.0,133.0,44,19,128.0,103.9,0.0,0.0,14.0,4.0
7,Murali Vijay,14.0,14.0,1.0,453.0,89,34.84,364.0,124.45,0.0,5.0,50.0,10.0,,,,,,,,,,,,,1.0,1.0,0.0,12.0,12,12.0,10.0,120.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,64.0,38,32.0,61.0,104.91,0.0,0.0,6.0,1.0,3.0,3.0,0.0,32.0,21,10.66,43.0,74.41,0.0,0.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
8,Quinton de Kock,13.0,13.0,1.0,445.0,108,37.08,327.0,136.08,1.0,3.0,52.0,13.0,,,,,,,,,,,,,8.0,8.0,0.0,201.0,53,25.12,162.0,124.07,0.0,1.0,20.0,8.0,16.0,16.0,1.0,529.0,81,35.26,398.0,132.91,0.0,4.0,45.0,25.0,16.0,16.0,2.0,503.0,78*,35.92,358.0,140.5,0.0,4.0,46.0,22.0,11.0,11.0,1.0,297.0,70*,29.7,256.0,116.01,0.0,2.0,29.0,7.0,,,,,,,,,,,,
9,Suresh Raina,15.0,15.0,1.0,399.0,75,28.5,312.0,127.88,0.0,3.0,39.0,10.0,14.0,14.0,3.0,442.0,84,40.18,307.0,143.97,0.0,3.0,42.0,13.0,15.0,15.0,3.0,445.0,75*,37.08,336.0,132.44,0.0,4.0,46.0,12.0,17.0,17.0,1.0,383.0,59,23.93,314.0,121.97,0.0,3.0,45.0,9.0,,,,,,,,,,,,,12.0,11.0,2.0,160.0,54,17.77,128.0,125.0,0.0,1.0,13.0,9.0,,,,,,,,,,,,
