,POS,Player,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
0,1,Bhuvneshwar Kumar,17,17,66.0,490,23,5/19,21.3,7.42,17.21,1,0
1,2,Yuzvendra Chahal,13,13,49.0,401,21,4/25,19.09,8.15,14.04,1,0
2,3,Shane Watson,16,16,56.0,485,20,4/29,24.25,8.58,16.95,1,0
3,4,Dhawal Kulkarni,14,14,49.0,364,18,4/14,20.22,7.42,16.33,1,0
4,5,Mitchell McClenaghan,14,14,53.0,436,17,4/21,25.64,8.17,18.82,1,0
5,6,Dwayne Bravo,15,15,56.0,494,17,4/22,29.05,8.82,19.76,1,0
6,7,Mustafizur Rahman,16,16,61.0,421,17,3/16,24.76,6.9,21.52,0,0
7,8,Jasprit Bumrah,14,14,52.0,406,15,4/14,27.06,7.8,20.8,0,0
8,9,Sandeep Sharma,14,14,50.0,366,15,4/20,24.4,7.32,20.0,0,0
9,10,Andre Russell,12,12,36.0,291,15,5/15,19.4,7.97,14.6,1,0
10,11,Barinder Sran,14,14,49.0,413,14,3/28,29.5,8.34,21.21,0,0
11,12,Axar Patel,14,14,48.0,388,13,4/21,29.84,8.11,22.07,1,0
12,13,Mohit Sharma,14,14,48.0,407,13,4/14,31.3,8.39,22.38,0,0
13,14,Chris Morris,12,12,44.0,308,13,4/23,23.69,7.0,20.3,0,0
14,15,Amit Mishra,14,14,46.0,344,13,5/17,26.46,7.47,21.23,1,0
15,16,Adam Zampa,5,5,17.0,115,12,6/19,9.58,6.76,8.5,0,1
16,17,Moises Henriques,17,17,52.0,415,12,3/12,34.58,7.98,26.0,0,0
17,18,Sreenath Aravind,9,9,29.0,216,11,4/14,19.63,7.4,15.9,0,0
18,19,Sunil Narine,11,11,43.0,304,11,5/19,27.63,7.09,23.36,0,0
19,20,Ashok Dinda,9,9,30.0,231,11,4/18,21.0,7.57,16.63,0,0
20,21,Piyush Chawla,12,11,35.0,273,11,4/17,24.81,7.72,19.27,0,0
21,22,Chris Jordan,9,9,28.0,258,11,4/11,23.45,9.21,15.27,1,0
22,23,Zaheer Khan,12,12,43.0,337,10,4/17,33.7,7.71,26.2,0,0
23,24,Morne Morkel,10,10,35.0,297,10,4/20,29.7,8.36,21.3,0,0
24,25,Umesh Yadav,9,9,26.0,234,10,4/24,23.4,9.0,15.6,0,0
25,26,Ravichandran Ashwin,14,14,44.0,319,10,4/34,31.9,7.25,26.4,1,0
26,27,Tim Southee,11,11,43.0,329,9,3/24,36.55,7.65,28.66,0,0
27,28,Thisara Perera,12,11,33.0,326,9,3/20,36.22,9.82,22.11,0,0
28,29,Praveen Kumar,16,16,51.0,401,9,3/18,44.55,7.78,34.33,0,0
29,30,Ashish Nehra,8,8,26.0,199,9,4/10,22.11,7.65,17.33,0,0
30,31,Harbhajan Singh,14,14,49.0,392,9,5/18,43.55,8.0,32.66,0,0
31,32,Dwayne Smith,12,8,18.0,153,8,4/8,19.12,8.5,13.5,1,0
32,33,Ravindra Jadeja,15,14,40.0,311,8,5/16,38.87,7.74,30.12,0,0
33,34,Marcus Stoinis,7,7,23.0,194,8,4/15,24.25,8.43,17.25,1,0
34,35,Kane Richardson,4,4,14.0,136,7,3/13,19.42,9.71,12.0,0,0
35,36,Carlos Brathwaite,8,8,23.0,185,7,3/43,26.42,7.98,19.85,0,0
36,37,Murugan Ashwin,10,10,28.0,241,7,3/21,34.42,8.45,24.42,0,0
37,38,Shivil Kaushik,7,7,23.0,192,6,3/20,32.0,8.34,23.0,0,0
